
====================================================
   STRUCTURAL ANALYSIS STACK INITIALIZED             
====================================================
Control:    Scenario Manager Active
Usage:      run_scenario('file.pl', interval_id).
====================================================
LOAD	960
CTRL_GROUND_FACTS	1903
GROUND	gpl_copyleft_scope__narrow_scope_reading	[conventional,conventional]
GROUND	gpl_copyleft_scope__strong_copyleft_reading	[conventional,deontological]
GROUND	gpl_derivative_work_trigger__broad_copyleft_reading	[conventional,deontological]
GROUND	gpl_derivative_work_trigger__narrow_linking_permissive_reading	[conventional,conventional]
GROUND	gpl_reciprocity_obligation__copyleft_as_commons_reading	[deontological,empirically_contingent]
GROUND	gpl_reciprocity_obligation__copyleft_as_freedom_reading	[deontological,empirically_contingent]
GROUND	gpl_reciprocity_obligation__copyleft_as_restriction_reading	[deontological,empirically_contingent]
GROUND	hagia_sophia_substrate__islamic_sovereignty_reading	[conventional,theological]
GROUND	hagia_sophia_substrate__orthodox_restitution_reading	[conventional,deontological]
GROUND	hagia_sophia_substrate__universal_heritage_reading	[deontological,instrumental]
GROUND	hebrew_continuity__bridge_pidginized	[conventional,instrumental]
GROUND	hebrew_continuity__liturgical_preservation	[conventional,theological]
GROUND	hebrew_continuity__native_generative	[conventional,empirically_contingent]
GROUND	hebrew_linguistic_life__liturgical_preservation_reading	[conventional,theological]
GROUND	hebrew_linguistic_life__marketplace_pidgin_reading	[conventional,empirically_contingent]
GROUND	hebrew_linguistic_life__native_generational_reading	[conventional,conventional]
GROUND	hebrew_living_language__literary_revival_reading	[conventional,conventional]
GROUND	hebrew_living_language__liturgical_continuity_reading	[deontological,theological]
GROUND	hebrew_living_language__native_generation_reading	[conventional,instrumental]
GROUND	hebrew_vitality__hybrid_continuity_reading	[empirically_contingent,empirically_contingent]
GROUND	hebrew_vitality__liturgical_reading	[deontological]
GROUND	hebrew_vitality__native_daily_reading	[conventional,conventional]
GROUND	herem_command_dt7__allegorical_displacement_reading	[deontological,deontological]
GROUND	herem_command_dt7__contextual_supersession_reading	[deontological,theological]
GROUND	herem_command_dt7__durable_separation_reading	[conventional,theological]
GROUND	historical_treaty_substrate__extinguishment_reading	[conventional,conventional]
GROUND	historical_treaty_substrate__nation_to_nation_reading	[conventional,deontological]
GROUND	hoa_covenant_scope__behavioral_control_reading	[conventional,empirically_contingent]
GROUND	hoa_covenant_scope__coordination_reading	[conventional,empirically_contingent]
GROUND	hoa_covenant_scope__extraction_reading	[conventional,conventional]
GROUND	homoousios_christology__arian_reading	[theological,theological]
GROUND	homoousios_christology__pro_nicene_reading	[deontological,deontological]
GROUND	homoousios_christology__semi_arian_reading	[conventional,instrumental]
GROUND	homoousios_nicene__honorific_similarity_reading	[conventional,deontological]
GROUND	homoousios_nicene__metaphysical_equality_reading	[deontological,deontological]
GROUND	homoousios_nicene__subordinationist_reading	[conventional,deontological]
GROUND	honor_satisfaction_mechanism__composite_reading	[conventional,empirically_contingent]
GROUND	honor_satisfaction_mechanism__contraction_reading	[deontological]
GROUND	honor_satisfaction_mechanism__decline_reading	[conventional,conventional]
GROUND	honor_satisfaction_substrate__composite_overdetermined_reading	[empirically_contingent]
GROUND	honor_satisfaction_substrate__cultural_contraction_reading	[conventional,deontological]
GROUND	honor_satisfaction_substrate__practice_decline_reading	[conventional,empirically_contingent]
GROUND	honor_settlement_legitimacy__composite_reading	[empirically_contingent,empirically_contingent]
GROUND	honor_settlement_legitimacy__contraction_reading	[deontological]
GROUND	honor_settlement_legitimacy__drop_reading	[conventional,conventional]
GROUND	honor_violence_legitimacy__composite_reading	[conventional,empirically_contingent]
GROUND	honor_violence_legitimacy__contraction_reading	[conventional,deontological]
GROUND	honor_violence_legitimacy__drop_reading	[conventional]
GROUND	human_dignity_ai_governance__magisterial_integralist_reading	[conventional,theological]
GROUND	human_dignity_ai_governance__pluralist_pragmatic_reading	[conventional,conventional]
GROUND	human_dignity_ai_governance__secular_humanist_reading	[conventional,deontological]
GROUND	human_dignity_ai_governance__techno_optimist_reading	[deontological,instrumental]
GROUND	human_dignity_ai_safeguarding__autonomy_rights_reading	[deontological,deontological]
GROUND	human_dignity_ai_safeguarding__imago_dei_reading	[deontological,theological]
GROUND	human_dignity_ai_safeguarding__posthumanist_reading	[deontological,instrumental]
GROUND	human_transcendence_pathway__babel_reading	[empirically_contingent,instrumental]
GROUND	human_transcendence_pathway__jerusalem_reading	[deontological,theological]
GROUND	human_transcendence_pathway__technocratic_vs_incarnational_reading	[empirically_contingent,instrumental]
GROUND	humane_treatment_standard__absolute_prohibition	[deontological,deontological]
GROUND	humane_treatment_standard__contextual_necessity	[conventional,instrumental]
GROUND	humane_treatment_standard__proportionality_balancing	[conventional,deontological]
GROUND	ietf_openness_commitment__capture_substrate_reading	[empirically_contingent,empirically_contingent]
GROUND	ietf_openness_commitment__commons_stewardship_reading	[deontological,empirically_contingent]
GROUND	ietf_openness_commitment__legitimacy_erosion_reading	[empirically_contingent,empirically_contingent]
GROUND	ihl_distinction_proportionality__categorical_prohibition_reading	[conventional,deontological]
GROUND	ihl_distinction_proportionality__human_agency_reading	[deontological,deontological]
GROUND	ihl_distinction_proportionality__outcomes_based_reading	[conventional,empirically_contingent]
GROUND	imperial_mandate__bakufu_delegation_reading	[instrumental,theological]
GROUND	imperial_mandate__loyalist_restoration_reading	[conventional,deontological]
GROUND	imposition_mechanism_kernel__endogenous_climb_reading	[deontological,empirically_contingent]
GROUND	imposition_mechanism_kernel__exogenous_override_reading	[conventional,empirically_contingent]
GROUND	imposition_mechanism_kernel__hybrid_legitimation_reading	[conventional,conventional]
GROUND	imposition_pathway_kernel__endogenous_climb_reading	[empirically_contingent,empirically_contingent]
GROUND	imposition_pathway_kernel__exogenous_override_reading	[empirically_contingent,empirically_contingent]
GROUND	imposition_pathway_kernel__hybrid_cascade_reading	[empirically_contingent,empirically_contingent]
GROUND	income_support_commitment__dependency_trap_reading	[deontological,empirically_contingent]
GROUND	income_support_commitment__freedom_floor_reading	[deontological,instrumental]
GROUND	income_support_commitment__targeting_efficiency_reading	[empirically_contingent,empirically_contingent]
GROUND	income_support_conditionality__dependency_trap_reading	[deontological,empirically_contingent]
GROUND	income_support_conditionality__freedom_floor_reading	[deontological,deontological]
GROUND	income_support_conditionality__wage_subsidy_reading	[empirically_contingent,empirically_contingent]
GROUND	ip_category_emergence__first_holding_reading	[conventional,instrumental]
GROUND	ip_category_emergence__synchronic_diachronic_seam	[empirically_contingent]
GROUND	ip_category_emergence__thinkability_reading	[deontological]
GROUND	irc_469_material_participation_kernel__strategic_shelter_reading	[conventional,instrumental]
GROUND	irc_469_material_participation_kernel__strict_gatekeeper_reading	[conventional,deontological]
GROUND	jati_practice_norm__colonial_census_reading	[conventional,instrumental]
GROUND	jati_practice_norm__localized_practice_reading	[conventional,empirically_contingent]
GROUND	jati_practice_norm__orthodox_textual_reading	[theological,theological]
GROUND	jcpoa_treaty_bindingness__binding_multilateral_reading	[conventional,deontological]
GROUND	jcpoa_treaty_bindingness__graduated_compliance_reading	[conventional,instrumental]
GROUND	jcpoa_treaty_bindingness__transactional_provisional_reading	[conventional,deontological]
GROUND	jewish_self_determination__diasporist_reading	[empirically_contingent,empirically_contingent]
GROUND	jewish_self_determination__liberal_nationalist_reading	[conventional,deontological]
GROUND	jewish_self_determination__religious_covenant_reading	[deontological,theological]
GROUND	jewish_self_determination__settler_colonial_reading	[deontological,empirically_contingent]
GROUND	jewish_sovereignty_palestine__liberal_nationalist_reading	[deontological,deontological]
GROUND	jewish_sovereignty_palestine__post_zionist_reading	[empirically_contingent,empirically_contingent]
GROUND	jewish_sovereignty_palestine__religious_zionist_reading	[theological,theological]
GROUND	jewish_territorial_claim__cultural_zionism_reading	[deontological,deontological]
GROUND	jewish_territorial_claim__political_zionism_reading	[deontological,empirically_contingent]
GROUND	jewish_territorial_claim__revisionist_zionism_reading	[conventional,deontological]
GROUND	jihad_quranic_corpus__defensive_spiritual_reading	[deontological,deontological,deontological]
GROUND	jihad_quranic_corpus__expansionist_legalist_reading	[conventional,theological]
GROUND	jihad_quranic_corpus__revolutionary_vanguard_reading	[theological,theological]
GROUND	john_1_1_logos__orthodox_christological	[deontological,deontological]
GROUND	john_1_1_logos__subordinationist	[deontological,theological]
GROUND	july_charter_sovereign_legitimacy__guided_nationalism_reading	[conventional,theological]
GROUND	july_charter_sovereign_legitimacy__military_custodian_reading	[conventional,instrumental]
GROUND	july_charter_sovereign_legitimacy__secular_democratic_reading	[conventional,deontological]
GROUND	jurisprudential_method_kernel__hanafi_reading	[conventional,deontological]
GROUND	jurisprudential_method_kernel__hanbali_reading	[deontological,theological]
GROUND	jurisprudential_method_kernel__maliki_reading	[conventional,empirically_contingent]
GROUND	jurisprudential_method_kernel__shafii_reading	[conventional,conventional]
GROUND	kami_buddha_ontology__domain_partition	[conventional,deontological]
GROUND	kami_buddha_ontology__honji_suijaku_monism	[conventional,deontological]
GROUND	kami_buddha_ontology__incoherent_bundle	[conventional,instrumental]
GROUND	kjv_text_1611__exclusive_inspiration_reading	[theological,theological]
GROUND	kjv_text_1611__functional_equivalence_reading	[conventional,instrumental]
GROUND	kjv_text_1611__revisable_translation_reading	[empirically_contingent,empirically_contingent]
GROUND	kodashim_commandment_status__messianic_deferral	[theological,theological]
GROUND	kodashim_commandment_status__performance_only	[conventional,deontological]
GROUND	kodashim_commandment_status__study_as_performance	[deontological,theological]
GROUND	kodashim_corpus__performance_only	[conventional,theological]
GROUND	kodashim_corpus__study_as_exercise	[theological,theological]
GROUND	kodashim_corpus__substitution_archive	[conventional,theological]
GROUND	kodashim_obligation__study_as_archive	[conventional,conventional]
GROUND	kodashim_obligation__study_as_performance	[deontological,theological]
GROUND	kodashim_obligation__study_as_preparation	[theological,theological]
GROUND	latin_correctness__continuity_reading	[empirically_contingent]
GROUND	latin_correctness__hybrid_reading	[conventional,deontological]
GROUND	latin_correctness__rupture_reading	[deontological,empirically_contingent]
GROUND	lausanne_minority_protections__expansive_reading	[conventional,deontological]
GROUND	lausanne_minority_protections__restrictive_reading	[conventional,conventional]
GROUND	legal_personhood_boundary__developmental_potentiality_reading	[conventional,deontological]
GROUND	legal_personhood_boundary__functional_capacity_reading	[deontological,empirically_contingent]
GROUND	legal_personhood_boundary__restrictive_anthropocentric_reading	[deontological,deontological]
GROUND	legitimacy_of_imposed_practice__endogenous_climb_reading	[empirically_contingent,empirically_contingent]
GROUND	legitimacy_of_imposed_practice__exogenous_override_reading	[conventional,deontological]
GROUND	legitimacy_of_imposed_practice__hybrid_scaffolding_reading	[empirically_contingent,empirically_contingent]
GROUND	legitimacy_of_practice_standardization__dual_practice_equilibrium_reading	[conventional,conventional]
GROUND	legitimacy_of_practice_standardization__endogenous_displacement_reading	[empirically_contingent,empirically_contingent]
GROUND	legitimacy_of_practice_standardization__exogenous_override_reading	[conventional,instrumental]
GROUND	legitimate_health_intervention__bodily_autonomy_primary	[deontological,deontological]
GROUND	legitimate_health_intervention__proportionality_reading	[deontological,empirically_contingent]
GROUND	legitimate_health_intervention__public_health_primary	[deontological,empirically_contingent]
GROUND	legitimate_knowledge_boundary__credentialed_expertise_reading	[conventional,empirically_contingent]
GROUND	legitimate_knowledge_boundary__experiential_pluralism_reading	[conventional,deontological]
GROUND	legitimate_knowledge_boundary__hybrid_coproduction_reading	[deontological,empirically_contingent]
GROUND	liability_attribution__deployer_liability	[deontological,empirically_contingent]
GROUND	liability_attribution__developer_liability	[deontological,instrumental]
GROUND	liability_attribution__shared_liability	[deontological,instrumental]
GROUND	licensing_statute_mandate__graduated_access_filter	[empirically_contingent,empirically_contingent]
GROUND	licensing_statute_mandate__public_safety_coordination	[deontological,empirically_contingent]
GROUND	licensing_statute_mandate__rent_seeking_suppression	[conventional,instrumental]
GROUND	literacy_acquisition_kernel__balanced_literacy_reading	[conventional,conventional]
GROUND	literacy_acquisition_kernel__phonics_reading	[empirically_contingent,empirically_contingent]
GROUND	literacy_acquisition_kernel__structured_literacy_reading	[empirically_contingent,empirically_contingent]
GROUND	literacy_acquisition_kernel__whole_language_reading	[deontological,empirically_contingent]
GROUND	living_language_status__literary_continuity_reading	[conventional,conventional]
GROUND	living_language_status__liturgical_preservation_reading	[conventional,theological]
GROUND	living_language_status__native_generation_reading	[conventional,conventional]
GROUND	lycurgan_laws__adaptive_fiction_reading	[conventional,empirically_contingent]
GROUND	lycurgan_laws__sacral_fidelity_reading	[deontological,theological]
GROUND	maat_order_principle__distributed_maintenance_reading	[deontological,empirically_contingent]
GROUND	maat_order_principle__divine_mandate_reading	[deontological,theological]
GROUND	magna_carta_1215__baronial_privilege_reading	[conventional,empirically_contingent]
GROUND	magna_carta_1215__living_document_reading	[conventional,conventional]
GROUND	magna_carta_1215__universal_rights_reading	[deontological,deontological]
GROUND	magna_carta_clause_39__feudal_prerogative_reading	[conventional,theological]
GROUND	magna_carta_clause_39__liberal_due_process_reading	[conventional,deontological]
GROUND	magna_carta_clause_39__originalist_limitation_reading	[conventional,empirically_contingent]
GROUND	magna_carta_constraint_authority__feudal_obsolescence_reading	[conventional,empirically_contingent]
GROUND	magna_carta_constraint_authority__living_constitutionalism_reading	[conventional,deontological]
GROUND	magna_carta_constraint_authority__parliamentary_sovereignty_reading	[conventional,conventional]
GROUND	mandate_legitimacy_scope__bodily_autonomy_primary	[deontological,deontological]
GROUND	mandate_legitimacy_scope__proportionality_reading	[deontological,instrumental]
GROUND	mandate_legitimacy_scope__public_health_primary	[deontological,deontological]
GROUND	manifesto_revolutionary_method__council_communist_reading	[deontological,empirically_contingent]
GROUND	manifesto_revolutionary_method__democratic_gradualism_reading	[deontological,empirically_contingent]
GROUND	manifesto_revolutionary_method__vanguard_rupture_reading	[empirically_contingent,instrumental]
GROUND	market_as_natural_default__beneficiary_maintained_reading	[conventional,empirically_contingent]
GROUND	market_as_natural_default__hybrid_amnesia_reading	[empirically_contingent,empirically_contingent]
GROUND	market_as_natural_default__lapsed_alternative_reading	[empirically_contingent,empirically_contingent]
GROUND	market_naturalization__beneficiary_maintained_reading	[conventional,empirically_contingent]
GROUND	market_naturalization__hybrid_reading	[empirically_contingent,empirically_contingent]
GROUND	market_naturalization__lapsed_alternative_reading	[empirically_contingent,empirically_contingent]
GROUND	marriage_authority__communal_autonomy_reading	[conventional,conventional]
GROUND	marriage_authority__federalist_millet_reading	[instrumental,instrumental]
GROUND	marriage_authority__gender_rights_reading	[deontological,deontological]
GROUND	marriage_authority__secularist_reading	[conventional,instrumental]
GROUND	marriage_authority_kernel__christian_canonical_reading	[conventional,theological]
GROUND	marriage_authority_kernel__hindu_codified_reading	[conventional,deontological]
GROUND	marriage_authority_kernel__muslim_shariat_reading	[conventional,theological]
GROUND	marriage_authority_kernel__parsi_communal_reading	[conventional,conventional]
GROUND	marriage_authority_kernel__secular_civil_reading	[conventional,deontological]
GROUND	marriage_commitment_legitimacy__endogenous_reinterpretation_reading	[theological,theological]
GROUND	marriage_commitment_legitimacy__exogenous_override_reading	[deontological,instrumental]
GROUND	marriage_commitment_legitimacy__hybrid_pragmatic_reading	[conventional,instrumental]
GROUND	marriage_commitment_reversal__endogenous_reinterpretation_reading	[theological,theological]
GROUND	marriage_commitment_reversal__exogenous_override_reading	[conventional,deontological]
GROUND	marriage_commitment_reversal__practice_doctrine_gap	[instrumental,theological]
GROUND	marriage_sacrament__civic_pastoral_reading	[conventional,deontological]
GROUND	marriage_sacrament__hierarchical_indissolubility_reading	[conventional,deontological]
GROUND	monetary_anchor_principle__overdetermined_composite_reading	[empirically_contingent,empirically_contingent]
GROUND	monetary_anchor_principle__punctuated_swap_reading	[conventional,conventional]
GROUND	monetary_anchor_principle__triffin_inevitability_reading	[empirically_contingent]
GROUND	monopoly_rulebook__extraction_demo_reading	[empirically_contingent,instrumental]
GROUND	monopoly_rulebook__social_scaffold_reading	[conventional,instrumental]
GROUND	monopoly_rulebook__tournament_orthodoxy_reading	[conventional,empirically_contingent]
GROUND	montevideo_statehood_criteria__constitutive_reading	[conventional,conventional]
GROUND	montevideo_statehood_criteria__declaratory_reading	[conventional,deontological]
GROUND	montevideo_statehood_criteria__hybrid_reading	[deontological,deontological]
GROUND	nafta_jurisdictional_boundary__capital_supremacy_reading	[conventional,conventional]
GROUND	nafta_jurisdictional_boundary__embedded_liberalism_reading	[conventional,empirically_contingent]
GROUND	nafta_jurisdictional_boundary__sovereignty_primacy_reading	[conventional,deontological]
GROUND	naskh_principle__classical_abrogation	[conventional,theological]
GROUND	naskh_principle__contextual_harmonization	[conventional,deontological]
GROUND	naskh_principle__progressive_restriction	[theological,theological]
GROUND	nicene_christological_kernel__homoiousios_reading	[deontological,theological]
GROUND	nicene_christological_kernel__homoousios_reading	[deontological,theological]
GROUND	nicene_creed_authority__strict_orthodox_reading	[conventional,deontological]
GROUND	nicene_creed_authority__symbolic_confessional_reading	[conventional,deontological]
GROUND	notability_guidelines__deletionist_reading	[conventional,empirically_contingent]
GROUND	notability_guidelines__inclusionist_reading	[deontological,empirically_contingent]
GROUND	npt_article_iv_vi_pairing__abolitionist	[conventional,deontological]
GROUND	npt_article_iv_vi_pairing__grand_bargain	[conventional,conventional]
GROUND	npt_article_iv_vi_pairing__nonproliferation_primary	[conventional,empirically_contingent]
GROUND	npt_treaty_1970__oligopoly_enforcement_reading	[conventional,empirically_contingent]
GROUND	npt_treaty_1970__reciprocal_disarmament_reading	[conventional,deontological]
GROUND	npt_treaty_1970__withdrawal_sovereignty_reading	[deontological,empirically_contingent]
GROUND	npt_treaty_text__nnws_reading	[conventional,deontological]
GROUND	npt_treaty_text__nws_reading	[conventional,empirically_contingent]
GROUND	npt_treaty_text__withdrawal_threshold_reading	[conventional,deontological]
GROUND	nsl_legal_text__democratic_enclosure_reading	[deontological,empirically_contingent]
GROUND	nsl_legal_text__jurisdictional_capture_reading	[conventional,instrumental]
GROUND	nsl_legal_text__sovereignty_restoration_reading	[conventional,instrumental]
GROUND	nuclear_impossibility_kernel__credibility_paradox_reading	[deontological,empirically_contingent]
GROUND	nuclear_impossibility_kernel__rational_dropout_reading	[deontological,empirically_contingent]
GROUND	nuclear_impossibility_kernel__structural_contraction_reading	[deontological,empirically_contingent]
GROUND	one_country_two_systems_framework__autonomy_primacy_reading	[conventional,deontological]
GROUND	one_country_two_systems_framework__balanced_coexistence_reading	[conventional,instrumental]
GROUND	one_country_two_systems_framework__sovereignty_primacy_reading	[conventional,deontological]
GROUND	orthographic_kernel__continuity_reading	[conventional,theological]
GROUND	orthographic_kernel__modernization_reading	[conventional,empirically_contingent]
GROUND	orthographic_kernel__rupture_reading	[conventional,deontological]
GROUND	orthographic_legitimacy_kernel__continuity_reading	[deontological,empirically_contingent]
GROUND	orthographic_legitimacy_kernel__instrumentalist_reading	[empirically_contingent,instrumental]
GROUND	orthographic_legitimacy_kernel__modernist_reading	[deontological,deontological]
GROUND	ost_article_ii_non_appropriation__commons_conservation	[conventional,deontological]
GROUND	ost_article_ii_non_appropriation__extraction_permissive	[conventional,conventional]
GROUND	ost_article_ii_non_appropriation__international_regime	[conventional,empirically_contingent]
GROUND	paris_article_4_ndc__equity_reading	[deontological,empirically_contingent]
GROUND	paris_article_4_ndc__sovereigntist_reading	[conventional,instrumental]
GROUND	paris_article_4_ndc__supranational_reading	[conventional,deontological]
GROUND	performance_legitimacy__livelihood_security_reading	[conventional,instrumental]
GROUND	performance_legitimacy__qualitative_development_reading	[empirically_contingent,instrumental]
GROUND	performance_legitimacy__quantitative_growth_reading	[conventional,empirically_contingent]
GROUND	performance_legitimacy__techno_nationalist_reading	[conventional,instrumental]
GROUND	permissive_license_text__commons_coordination_reading	[empirically_contingent,instrumental]
GROUND	permissive_license_text__copyleft_counterfactual_reading	[deontological,empirically_contingent]
GROUND	permissive_license_text__corporate_moat_reading	[conventional,instrumental]
GROUND	personhood_boundary__birth_threshold_reading	[deontological,deontological]
GROUND	personhood_boundary__fitness_contingent_reading	[conventional,empirically_contingent]
GROUND	personhood_boundary__potential_based_reading	[deontological,instrumental]
GROUND	plural_marriage_mandate__endogenous_reinterpretation_reading	[theological,theological]
GROUND	plural_marriage_mandate__exogenous_override_reading	[deontological,theological]
GROUND	plural_marriage_mandate__institutional_pragmatism_reading	[instrumental,theological]
GROUND	preparedness_commitment__competence_reading	[empirically_contingent,empirically_contingent]
GROUND	preparedness_commitment__husk_reading	[conventional,conventional]
GROUND	preparedness_commitment__hybrid_reading	[empirically_contingent,empirically_contingent]
GROUND	preparedness_persistence__competence_reading	[empirically_contingent,empirically_contingent]
GROUND	preparedness_persistence__husk_reading	[conventional,empirically_contingent]
GROUND	preparedness_persistence__hybrid_reading	[empirically_contingent,empirically_contingent]
GROUND	preparedness_retention__competence_reading	[empirically_contingent,instrumental]
GROUND	preparedness_retention__husk_reading	[conventional,empirically_contingent]
GROUND	preparedness_retention__hybrid_reading	[empirically_contingent,instrumental]
GROUND	preparedness_transmission__competence_reading	[empirically_contingent,empirically_contingent]
GROUND	preparedness_transmission__husk_reading	[empirically_contingent,empirically_contingent]
GROUND	preparedness_transmission__hybrid_reading	[empirically_contingent,empirically_contingent]
GROUND	press_reformation_causality__co_constitution	[empirically_contingent,empirically_contingent]
GROUND	press_reformation_causality__technological_determinism	[empirically_contingent,empirically_contingent]
GROUND	press_reformation_causation__technological_determinism	[empirically_contingent,empirically_contingent]
GROUND	price_formation_kernel__financialization_reading	[conventional,empirically_contingent]
GROUND	price_formation_kernel__georgist_reading	[deontological,deontological]
GROUND	price_formation_kernel__institutional_reading	[empirically_contingent,empirically_contingent]
GROUND	price_formation_kernel__naturalist_reading	[empirically_contingent,instrumental]
GROUND	provincial_sovereignty_boundary__compact_federalism	[conventional,deontological]
GROUND	provincial_sovereignty_boundary__constitutional_subordination	[conventional,conventional]
GROUND	provincial_sovereignty_boundary__resource_sovereignty_primacy	[deontological,instrumental]
GROUND	public_health_mandate_authority__bodily_autonomy_primary	[deontological,deontological]
GROUND	public_health_mandate_authority__proportionality_reading	[deontological,empirically_contingent]
GROUND	public_health_mandate_authority__public_health_primary	[deontological,deontological]
GROUND	qualified_immunity_doctrine__accountability_void_reading	[deontological,empirically_contingent]
GROUND	qualified_immunity_doctrine__constitutional_fidelity_reading	[deontological,deontological]
GROUND	quantum_formalism__copenhagen_reading	[deontological,empirically_contingent]
GROUND	quantum_formalism__many_worlds_reading	[deontological,empirically_contingent]
GROUND	quantum_formalism__pilot_wave_reading	[deontological,empirically_contingent]
GROUND	quran_9_5_scope__abrogating_universal	[conventional,theological]
GROUND	quran_9_5_scope__contextual_defensive	[conventional,deontological]
GROUND	quran_9_5_scope__progressive_synthesis	[deontological,empirically_contingent]
GROUND	quran_hadith_substrate__reformist_ijtihad	[conventional,deontological]
GROUND	quran_hadith_substrate__state_hybrid	[conventional,instrumental]
GROUND	quran_hadith_substrate__traditionalist_taqlid	[conventional,deontological]
GROUND	quran_ontological_status__created_reading	[conventional,deontological]
GROUND	quran_ontological_status__state_enforced_creation_reading	[conventional,theological]
GROUND	quran_ontological_status__uncreated_reading	[deontological,theological]
GROUND	quranic_gender_verses__contextual_egalitarian	[deontological,empirically_contingent]
GROUND	quranic_gender_verses__literal_hierarchical	[theological,theological]
GROUND	quranic_gender_verses__progressive_abrogation	[conventional,deontological]
GROUND	qwerty_persistence__incumbent_preservation_reading	[conventional,conventional]
GROUND	qwerty_persistence__lapsed_alternatives_reading	[empirically_contingent,empirically_contingent]
GROUND	qwerty_persistence_inevitability__path_dependency_reading	[empirically_contingent,empirically_contingent]
GROUND	qwerty_persistence_inevitability__strategic_lock_in_reading	[empirically_contingent,empirically_contingent]
GROUND	qwerty_persistence_mechanism__beneficiary_extraction_reading	[empirically_contingent,empirically_contingent]
GROUND	qwerty_persistence_mechanism__lock_in_reading	[empirically_contingent,empirically_contingent]
GROUND	qwerty_persistence_mechanism__naturalization_reading	[empirically_contingent,empirically_contingent]
GROUND	rbio_practice_norm_complex__hegemonic_extraction_reading	[deontological,empirically_contingent]
GROUND	rbio_practice_norm_complex__liberal_institutional_reading	[conventional,deontological]
GROUND	rbio_practice_norm_complex__sovereignty_maximalist_reading	[deontological,empirically_contingent]
GROUND	reading_acquisition_legitimacy__balanced_literacy_integration	[conventional,empirically_contingent]
GROUND	reading_acquisition_legitimacy__phonics_decoding_primacy	[empirically_contingent,empirically_contingent]
GROUND	reading_acquisition_legitimacy__structured_literacy_remediation	[empirically_contingent,empirically_contingent]
GROUND	reading_acquisition_mechanism__balanced_literacy_reading	[conventional,empirically_contingent]
GROUND	reading_acquisition_mechanism__phonics_reading	[empirically_contingent,empirically_contingent]
GROUND	reading_acquisition_mechanism__whole_language_reading	[deontological,empirically_contingent]
GROUND	reformation_composite__political_realignment_reading	[conventional,instrumental]
GROUND	reformation_composite__technological_mediation_reading	[empirically_contingent,empirically_contingent]
GROUND	reformation_composite__theological_fragmentation_reading	[deontological,theological]
GROUND	reformation_event_boundary__composite_overdetermination_reading	[empirically_contingent,empirically_contingent]
GROUND	reformation_event_boundary__political_swap_reading	[conventional,empirically_contingent]
GROUND	reformation_event_boundary__theological_climb_reading	[deontological,theological]
GROUND	refugee_convention_text__procedural_integrity_reading	[conventional,deontological]
GROUND	refugee_convention_text__restrictive_sovereignty_reading	[conventional,conventional]
GROUND	remonstrance_authority__crown_reading	[conventional,deontological]
GROUND	remonstrance_authority__magistrate_reading	[conventional,deontological]
GROUND	rfc9293_tcp_specification__middlebox_realism_reading	[empirically_contingent,empirically_contingent]
GROUND	rfc9293_tcp_specification__optimization_latitude_reading	[conventional,instrumental]
GROUND	rfc9293_tcp_specification__strict_invariance_reading	[conventional,conventional]
GROUND	rogers_commission_findings__actuarial_risk_acceptance	[conventional,empirically_contingent]
GROUND	rogers_commission_findings__engineering_absolute_threshold	[deontological,empirically_contingent]
GROUND	rogers_commission_findings__management_compliance_narrative	[conventional,conventional]
GROUND	rome_statute_jurisdiction__hybrid_complementarity_reading	[conventional,deontological]
GROUND	rome_statute_jurisdiction__sovereigntist_reading	[conventional,deontological]
GROUND	rome_statute_jurisdiction__universalist_reading	[deontological,deontological]
GROUND	sacrifice_commandment__archive_maintenance	[conventional,theological]
GROUND	sacrifice_commandment__performance_only	[deontological,deontological]
GROUND	sacrifice_commandment__study_as_performance	[deontological,theological]
GROUND	sacrifice_obligation_continuity__archival_preservation	[conventional,conventional]
GROUND	sacrifice_obligation_continuity__messianic_suspension	[conventional,deontological]
GROUND	sacrifice_obligation_continuity__performance_only	[conventional,deontological]
GROUND	sacrifice_obligation_continuity__study_as_performance	[deontological,deontological]
GROUND	sacrifice_obligation_kernel__messianic_suspension_reading	[conventional,theological]
GROUND	sacrifice_obligation_kernel__performance_only_reading	[conventional,deontological]
GROUND	sacrifice_obligation_kernel__study_as_exercise_reading	[deontological,theological]
GROUND	sacrifice_obligation_kernel__symbolic_archive_reading	[conventional,conventional]
GROUND	salic_prohibition__cognatic_reversion_reading	[conventional,empirically_contingent]
GROUND	salic_prohibition__immutable_mandate_reading	[deontological,theological]
GROUND	salic_prohibition__sovereign_override_reading	[conventional,instrumental]
GROUND	script_as_identity__kemalist_rupture_reading	[conventional,instrumental]
GROUND	script_as_identity__ottoman_continuity_reading	[conventional,deontological]
GROUND	script_as_identity__phonetic_instrumentalism_reading	[empirically_contingent,empirically_contingent]
GROUND	secession_legitimacy_boundary__grievance_threshold_reading	[deontological,empirically_contingent]
GROUND	secession_legitimacy_boundary__popular_sovereignty_reading	[conventional,deontological]
GROUND	secession_legitimacy_boundary__treaty_primacy_reading	[deontological,deontological]
GROUND	second_amendment_arms_right__civic_republican_reading	[conventional,deontological]
GROUND	second_amendment_arms_right__collective_right_reading	[conventional,conventional]
GROUND	second_amendment_arms_right__individual_right_reading	[conventional,deontological]
GROUND	second_amendment_boundary__individual_right_reading	[conventional,deontological]
