constraint	seat	author_claim	engine_dr_type
zero_mathematical_status__parmenidean_rejection	moderate	tangled_rope	snare
zero_mathematical_status__parmenidean_rejection	institutional	tangled_rope	rope
zero_mathematical_status__parmenidean_rejection	analytical	tangled_rope	snare
zero_mathematical_status__placeholder_reading	powerless	tangled_rope	tangled_rope
zero_mathematical_status__placeholder_reading	moderate	tangled_rope	tangled_rope
zero_mathematical_status__placeholder_reading	institutional	tangled_rope	rope
zero_mathematical_status__placeholder_reading	analytical	tangled_rope	tangled_rope
zionist_legitimacy_basis__national_liberation_reading	powerless	tangled_rope	naturalized
zionist_legitimacy_basis__national_liberation_reading	moderate	tangled_rope	snare
zionist_legitimacy_basis__national_liberation_reading	institutional	tangled_rope	rope
zionist_legitimacy_basis__national_liberation_reading	analytical	tangled_rope	snare
