constraint	structural	purity
currency_depreciation_spiral	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3405
dark_matter_structure_formation_timeline	contaminated+excess_extraction	0.9600000000000001
decalogue_image_prohibition__iconoclast_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3541666666666667
decalogue_image_prohibition__iconodule_reading	contaminated+factorization+nonsensical_coupling+excess_extraction	0.7818333333333334
decalogue_image_prohibition__moderate_iconoclast_reading	contaminated+factorization+excess_extraction	0.607
decentralization_censorship_resistance	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3405
defense_contractor_vendor_capture	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.378
deferential_realism_ontology__hybrid_pragmatic_reading	contaminated+factorization+excess_extraction	0.591
deferential_realism_ontology__immutable_diagnostic_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3541666666666667
deferential_realism_ontology__rhetorical_scaffold_reading	contaminated+factorization+excess_extraction	0.575
deforestation_commons	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3125
derivative_work_statutory_boundary__coordination_reading	contaminated+excess_extraction	0.936
derivative_work_statutory_boundary__enclosure_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3541666666666667
derivative_work_statutory_boundary__hybrid_carveout_reading	contaminated+factorization+excess_extraction	0.655
developing_nation_debt_sustainability	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3405
dharmasastra_corpus__abolitionist_rejection	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4291666666666667
dharmasastra_corpus__orthodox_literalist	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3541666666666667
dharmasastra_corpus__reformist_contextual	contaminated+factorization+excess_extraction	0.599
digital_identity_standardization	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3285
digital_money_emergence_boundary__conceptualization_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4101666666666667
digital_money_emergence_boundary__consumer_holdings_reading	contaminated+factorization+excess_extraction	0.6669999999999999
digital_money_emergence_boundary__infrastructure_reading	contaminated+factorization+excess_extraction	0.6469999999999999
digital_money_origin__consumer_access_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.45799999999999996
digital_money_origin__infrastructure_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4421666666666667
digital_money_origin__peer_to_peer_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3125
dignified_death__autonomy_primary	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3365
dignified_death__relational_autonomy	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3925
dignified_death__sanctity_primary	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3125
disability_identity_politics	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3365
disney_openai_ip_exclusivity	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3821666666666667
distributed_system_coherence	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4821666666666667
divine_legitimacy_substrate__amun_polytheistic_reading	contaminated+factorization+excess_extraction	0.655
divine_legitimacy_substrate__atenist_monotheistic_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3541666666666667
divine_legitimacy_substrate__enforcement_collapse_mechanism	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3205
divine_legitimacy_substrate__folk_syncretistic_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.48366666666666674
divine_marriage_command__coercion_visibility_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.358
divine_marriage_command__continuationist_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3285
divine_marriage_command__substitutionist_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3125
dldr_information_policy	contaminated+factorization+nonsensical_coupling+excess_extraction	0.4743333333333334
dollar_gold_convertibility__policy_flexible_reading	contaminated+excess_extraction	0.8520000000000001
dollar_gold_convertibility__strict_convertibility_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3621666666666667
dollar_gold_convertibility__triffin_structural_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3541666666666667
doomsday_clock_metric__hybrid_legitimacy_reading	contaminated+factorization+excess_extraction	0.607
doomsday_clock_metric__objective_index_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.366
doomsday_clock_metric__performative_tool_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3285
dsm_taxonomy_kernel__biomedical_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3541666666666667
dsm_taxonomy_kernel__critical_psychiatry_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.35250000000000004
dsm_taxonomy_kernel__neurodiversity_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3541666666666667
dueling_disappearance_mechanism__institutional_displacement_reading	pure_coordination	0.992
dueling_disappearance_mechanism__overdetermined_composite_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3445
ecb_mandate_article_127__climate_incorporation	contaminated+excess_extraction	0.8320000000000001
ecb_mandate_article_127__expansive_secondary_objectives	contaminated+factorization+excess_extraction	0.607
ecb_mandate_article_127__orthodox_price_stability	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3205
ecclesiastical_extraction_collapse	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3285
ecumenical_boundary_shift	contaminated+excess_extraction	0.8240000000000001
eidas_digital_identity	contaminated+excess_extraction	0.8400000000000001
electronic_money_emergence__became_thinkable_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4621666666666667
electronic_money_emergence__first_held_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4821666666666667
electronic_money_emergence__m4_m5_collapse_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3125
elite_identity_capture_2026	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3285
emergency_response_reach	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3205
emerging_market_debt_trap	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3405
emotional_labor_extraction	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3541666666666667
end_of_life_authority__autonomy_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3405
end_of_life_authority__sanctity_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3285
end_of_life_decision_authority__autonomy_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.35
end_of_life_decision_authority__sanctity_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3125
end_of_life_decision_authority__vulnerability_protection_reading	contaminated+factorization+nonsensical_coupling+excess_extraction	0.4663333333333334
enforcement_asymmetry_axis	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3205
environmental_instability_as_constraint	pure_coordination	0.988
equal_protection_clause__anti_subordination_reading	contaminated+nonsensical_coupling+excess_extraction	0.7153333333333334
equal_protection_clause__colorblind_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4101666666666667
equal_protection_clause__diversity_reading	contaminated+factorization+excess_extraction	0.8395
equal_protection_clause__formal_equality_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4421666666666667
equal_protection_clause__remedial_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3205
equal_protection_clause__substantive_equality_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.2788333333333334
equal_protection_commitment__colorblind_reading	contaminated+factorization+excess_extraction	0.647
equal_protection_commitment__diversity_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4741666666666667
equal_protection_commitment__remedial_reading	contaminated+factorization+excess_extraction	0.607
equality_clause_scope__expansive_universalist	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4341666666666667
equality_clause_scope__progressive_textualist	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4421666666666667
equality_clause_scope__restrictive_originalist	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3125
ergo_nipopows	contaminated+factorization+excess_extraction	0.6469999999999999
ergo_utxo_state_bloat_accumulation	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3405
ergodic_decomposition	contaminated+excess_extraction	0.9760000000000001
eternal_marriage_covenant__immutable_commandment_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3541666666666667
eternal_marriage_covenant__prophetic_override_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3285
eternal_marriage_covenant__temporal_accommodation_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4341666666666667
eu_council_unanimity__diplomatic_capital_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.49016666666666664
eu_council_unanimity__sovereignty_guarantor_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.46616666666666673
eu_council_unanimity__veto_trap_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3285
exclusion_as_preparation	contaminated+factorization+excess_extraction	0.627
expert_disempowerment	contaminated+factorization+excess_extraction	0.607
expertise_specialization_trap	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3285
export_proliferation_pathway	contaminated+nonsensical_coupling+excess_extraction	0.7713333333333334
fair_use_four_factor_test__creator_centric_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.358
fair_use_four_factor_test__transformative_use_reading	contaminated+excess_extraction	0.8240000000000001
fair_use_four_factor_test__user_centric_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.47416666666666674
fair_use_statutory_exception__market_licensing_reading	contaminated+factorization+excess_extraction	0.5
fair_use_statutory_exception__narrow_defense_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3405
fair_use_statutory_exception__transformative_right_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4341666666666667
family_law_authority__communal_autonomy_reading	contaminated+factorization+excess_extraction	0.627
family_law_authority__constitutional_supremacy_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4245
family_law_authority__hybrid_accommodation_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4461666666666667
fb_creator_monetization_indonesia	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.378
federation_membership__integration_reading	contaminated+excess_extraction	0.8520000000000001
federation_membership__sovereignty_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3405
federation_membership_kernel__integration_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.378
federation_membership_kernel__member_sovereignty_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.378
federation_membership_kernel__welfare_coordination_reading	contaminated+factorization+excess_extraction	0.627
federation_membership_obligations__integration_primary	contaminated+factorization+nonsensical_coupling+excess_extraction	0.5263333333333334
federation_membership_obligations__member_sovereignty_primary	contaminated+nonsensical_coupling+excess_extraction	0.7353333333333334
federation_membership_obligations__selective_solidarity	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3405
federation_membership_treaty__integration_primary	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.32283333333333336
federation_membership_treaty__sovereignty_primary	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.39
federation_membership_treaty__subsidiarity_balance	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4621666666666667
feud_obligation_kernel__christianized_pacification_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3205
feud_obligation_kernel__extraction_cycle_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3285
feud_obligation_kernel__stateless_coordination_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4541666666666667
feudal_oath_reciprocity__ecclesiastical_mediation_reading	contaminated+factorization+excess_extraction	0.655
feudal_oath_reciprocity__lord_extraction_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3541666666666667
feudal_oath_reciprocity__vassal_coordination_reading	contaminated+excess_extraction	0.9680000000000001
fifth_republic_constitution__cohabitation_equilibrium_reading	contaminated+excess_extraction	0.8480000000000001
fifth_republic_constitution__hyper_presidential_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.39583333333333337
fifth_republic_constitution__parliamentary_constraint_reading	contaminated+factorization+nonsensical_coupling+excess_extraction	0.7738333333333334
filter_bubble_closure	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3405
financialization_drag	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3405
finite_group_classification	pure_natural_law	1.0
first_amendment_speech_protection__absolutist_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3445
first_amendment_speech_protection__categorical_balancing_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3205
first_amendment_speech_protection__harm_limited_reading	contaminated+factorization+nonsensical_coupling+excess_extraction	0.5371666666666667
fisa_702_statutory_text__constitutional_floor_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3541666666666667
fisa_702_statutory_text__foreign_target_strict_reading	contaminated+excess_extraction	0.9680000000000001
fisa_702_statutory_text__incidental_collection_reading	contaminated+factorization+nonsensical_coupling+excess_extraction	0.5063333333333334
fiscal_federalism_absence	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3405
foreign_pressure_catalyst	contaminated+excess_extraction	0.8320000000000001
fork_mechanical_substitution	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4341666666666667
fourteenth_amendment_equal_protection__anti_caste_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3405
fourteenth_amendment_equal_protection__formal_equality_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.40049999999999997
fourteenth_amendment_equal_protection__judicial_interpretive_drift	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3205
franchisee_corporate_squeeze	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3405
french_presidential_authority	contaminated+factorization+excess_extraction	0.607
gaza_evacuation_route_accessibility	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3541666666666667
gdpr_article_3_scope__effects_jurisdiction_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3541666666666667
gdpr_article_3_scope__market_access_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4621666666666667
gdpr_article_3_scope__territorial_sovereignty_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3205
gdpr_enforcement_structure	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.38199999999999995
gelassenheit_separation__artifact_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3541666666666667
gelassenheit_separation__consequence_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4741666666666667
gelassenheit_separation__principle_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4245
gendered_category_membership__biological_sex_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4291666666666667
gendered_category_membership__gender_identity_reading	contaminated+factorization+excess_extraction	0.615
gendered_category_membership__social_role_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4341666666666667
genesis_creation_cosmology__institutional_enforcement	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3125
genesis_creation_cosmology__literary_framework	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4741666666666667
genesis_creation_cosmology__theistic_evolution	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4341666666666667
genesis_creation_cosmology__young_earth_literal	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3541666666666667
genesis_creation_narrative__allegorical_ancient_near_east	contaminated+factorization+nonsensical_coupling+excess_extraction	0.7538333333333334
genesis_creation_narrative__literal_young_earth	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.366
genesis_creation_narrative__theistic_evolutionary	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4421666666666667
geneva_conventions_1949__conditional_reciprocity_reading	contaminated+nonsensical_coupling+excess_extraction	0.7313333333333334
geneva_conventions_1949__humanitarian_ceiling_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3541666666666667
geneva_conventions_1949__security_maximization_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3541666666666667
geneva_conventions_protective_scope__hybrid_proportionality_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3205
geneva_conventions_protective_scope__state_centric_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3445
geneva_conventions_protective_scope__universal_rights_reading	contaminated+factorization+nonsensical_coupling+excess_extraction	0.5291666666666667
geopolitical_alliance_fragmentation	contaminated+factorization+excess_extraction	0.607
geopolitical_mineral_dependency	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3405
gig_economy_emergence_as_exit_mechanism	contaminated+factorization+nonsensical_coupling+excess_extraction	0.4863333333333334
gita_kurukshetra_discourse__gandhian_allegorical_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3365
gita_kurukshetra_discourse__orthodox_literal_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3541666666666667
gita_kurukshetra_discourse__universalist_devotional_reading	contaminated+factorization+excess_extraction	0.599
global_oil_supply_stability	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3405
global_south_coalitional_power	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.38999999999999996
gold_fiat_transition_mechanism__automatic_constraint_reading	contaminated+factorization+nonsensical_coupling+excess_extraction	0.4743333333333334
gold_fiat_transition_mechanism__composite_overdetermination_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4621666666666667
gold_fiat_transition_mechanism__creditor_discipline_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3541666666666667
gold_fomo_cycle	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3405
goodharts_law_metric_targeting	contaminated+factorization+nonsensical_coupling+excess_extraction	0.4863333333333334
google_universal_commerce_protocol	contaminated+factorization+excess_extraction	0.575
gpl_copyleft_scope__enforcement_vacuum_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4621666666666667
gpl_copyleft_scope__narrow_scope_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4421666666666667
gpl_copyleft_scope__strong_copyleft_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3541666666666667
gpl_derivative_work_trigger__broad_copyleft_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.30283333333333334
gpl_derivative_work_trigger__interface_boundary_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4205
gpl_derivative_work_trigger__narrow_linking_permissive_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3765
gpl_reciprocity_obligation__copyleft_as_commons_reading	contaminated+factorization+excess_extraction	0.6829999999999999
gpl_reciprocity_obligation__copyleft_as_freedom_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4325
gpl_reciprocity_obligation__copyleft_as_restriction_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3541666666666667
gpu_semiconductor_supply	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.39
hagia_sophia_substrate__islamic_sovereignty_reading	contaminated+factorization+excess_extraction	0.599
hagia_sophia_substrate__orthodox_restitution_reading	contaminated+factorization+nonsensical_coupling+excess_extraction	0.5901666666666666
hagia_sophia_substrate__universal_heritage_reading	contaminated+factorization+excess_extraction	0.615
hebrew_continuity__bridge_pidginized	contaminated+factorization+excess_extraction	0.599
hebrew_continuity__liturgical_preservation	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4341666666666667
hebrew_continuity__native_generative	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3125
hebrew_linguistic_life__liturgical_preservation_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4341666666666667
hebrew_linguistic_life__marketplace_pidgin_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.45799999999999996
hebrew_linguistic_life__native_generational_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3125
hebrew_living_language__hybrid_continuity_reading	contaminated+excess_extraction	0.8560000000000001
hebrew_living_language__liturgical_preservation_reading	contaminated+excess_extraction	0.9600000000000001
hebrew_living_language__native_vernacular_reading	contaminated+factorization+nonsensical_coupling+excess_extraction	0.4983333333333334
herem_command_dt7__allegorical_displacement_reading	pure_coordination	0.992
herem_command_dt7__contextual_supersession_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4341666666666667
herem_command_dt7__durable_separation_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4291666666666667
hiring_discrimination_automation	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3125
historical_treaty_substrate__extinguishment_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3541666666666667
historical_treaty_substrate__nation_to_nation_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4421666666666667
historical_treaty_substrate__stewardship_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4205
hoa_covenant_scope__behavioral_control_reading	contaminated+factorization+nonsensical_coupling+excess_extraction	0.4983333333333334
hoa_covenant_scope__coordination_reading	pure_coordination	1.0
hoa_covenant_scope__extraction_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3661666666666667
homoousios_christology__arian_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3125
homoousios_christology__pro_nicene_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3205
homoousios_christology__semi_arian_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4341666666666667
homoousios_nicene__honorific_similarity_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3365
homoousios_nicene__metaphysical_equality_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.358
homoousios_nicene__subordinationist_reading	contaminated+factorization+nonsensical_coupling+excess_extraction	0.5543333333333333
hong_kong_press_freedom_suppression	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3541666666666667
honor_satisfaction_mechanism__composite_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3205
honor_satisfaction_mechanism__contraction_reading	inconclusive	-1.0
honor_satisfaction_mechanism__decline_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4341666666666667
honor_satisfaction_substrate__composite_overdetermined_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.33249999999999996
honor_satisfaction_substrate__practice_decline_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4341666666666667
honor_settlement_legitimacy__composite_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4621666666666667
honor_settlement_legitimacy__contraction_reading	contaminated+excess_extraction	0.9720000000000001
honor_settlement_legitimacy__drop_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4341666666666667
honor_violence_legitimacy__composite_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4666666666666667
honor_violence_legitimacy__contraction_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4341666666666667
honor_violence_legitimacy__drop_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4341666666666667
household_debt_accumulation_cycle	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3405
humane_treatment_standard__absolute_prohibition	pure_coordination	1.0
humane_treatment_standard__contextual_necessity	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3205
humane_treatment_standard__proportionality_balancing	contaminated+excess_extraction	0.8320000000000001
ietf_openness_commitment__capture_substrate_reading	contaminated+factorization+excess_extraction	0.575
ietf_openness_commitment__commons_stewardship_reading	contaminated+factorization+excess_extraction	0.8635
ietf_openness_commitment__legitimacy_erosion_reading	contaminated+factorization+nonsensical_coupling+excess_extraction	0.6538333333333334
ihl_distinction_proportionality__categorical_prohibition_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3125
ihl_distinction_proportionality__human_agency_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3541666666666667
ihl_distinction_proportionality__outcomes_based_reading	contaminated+factorization+excess_extraction	0.6389999999999999
imperial_mandate__bakufu_delegation_reading	contaminated+factorization+nonsensical_coupling+excess_extraction	0.5771666666666667
imperial_mandate__loyalist_restoration_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3205
imperial_religious_property_seizure	contaminated+factorization+excess_extraction	0.5
income_support_commitment__care_economy_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4501666666666667
income_support_commitment__dependency_trap_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3405
income_support_commitment__freedom_floor_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4621666666666667
income_support_conditionality__dependency_trap_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3405
income_support_conditionality__freedom_floor_reading	pure_coordination	0.988
income_support_conditionality__wage_subsidy_reading	contaminated+factorization+excess_extraction	0.627
incumbent_competitive_moat	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3285
information_asymmetry_edtech	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3405
information_asymmetry_exploitation	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3405
innovators_dilemma	contaminated+factorization+excess_extraction	0.627
institutional_legitimacy_without_consent	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3205
insulin_pricing_cliff	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3541666666666667
international_law_instrumentalization	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3541666666666667
interpretive_authority_concentration	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4291666666666667
ip_category_emergence__first_holding_reading	contaminated+factorization+excess_extraction	0.627
ip_category_emergence__synchronic_diachronic_seam	contaminated+factorization+nonsensical_coupling+excess_extraction	0.6538333333333334
ip_category_emergence__thinkability_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4421666666666667
