constraint	fixed_structural
divine_marriage_command__substitutionist_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
dldr_information_policy	contaminated+factorization+nonsensical_coupling+excess_extraction
dollar_gold_convertibility__policy_flexible_reading	contaminated+excess_extraction
dollar_gold_convertibility__strict_convertibility_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
dollar_gold_convertibility__triffin_structural_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
doomsday_clock_metric__hybrid_legitimacy_reading	contaminated+factorization+excess_extraction
doomsday_clock_metric__objective_index_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
doomsday_clock_metric__performative_tool_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
dsm_taxonomy_kernel__biomedical_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
dsm_taxonomy_kernel__critical_psychiatry_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
dsm_taxonomy_kernel__neurodiversity_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
dueling_disappearance_mechanism__institutional_displacement_reading	pure_coordination
dueling_disappearance_mechanism__overdetermined_composite_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
ecb_mandate_article_127__climate_incorporation	contaminated+excess_extraction
ecb_mandate_article_127__expansive_secondary_objectives	contaminated+factorization+excess_extraction
ecb_mandate_article_127__orthodox_price_stability	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
ecclesiastical_extraction_collapse	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
ecumenical_boundary_shift	contaminated+excess_extraction
eidas_digital_identity	contaminated+excess_extraction
electronic_money_emergence__became_thinkable_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
electronic_money_emergence__first_held_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
electronic_money_emergence__m4_m5_collapse_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
elite_identity_capture_2026	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
emergency_response_reach	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
emerging_market_debt_trap	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
emotional_labor_extraction	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
end_of_life_authority__autonomy_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
end_of_life_authority__sanctity_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
end_of_life_decision_authority__autonomy_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
end_of_life_decision_authority__sanctity_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
end_of_life_decision_authority__vulnerability_protection_reading	contaminated+factorization+nonsensical_coupling+excess_extraction
enforcement_asymmetry_axis	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
environmental_instability_as_constraint	pure_coordination
equal_protection_clause__anti_subordination_reading	contaminated+nonsensical_coupling+excess_extraction
equal_protection_clause__colorblind_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
equal_protection_clause__diversity_reading	contaminated+factorization+excess_extraction
equal_protection_clause__formal_equality_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
equal_protection_clause__remedial_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
equal_protection_clause__substantive_equality_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
equal_protection_commitment__colorblind_reading	contaminated+factorization+excess_extraction
equal_protection_commitment__diversity_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
equal_protection_commitment__remedial_reading	contaminated+factorization+excess_extraction
equality_clause_scope__expansive_universalist	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
equality_clause_scope__progressive_textualist	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
equality_clause_scope__restrictive_originalist	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
ergo_nipopows	contaminated+factorization+excess_extraction
ergo_utxo_state_bloat_accumulation	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
ergodic_decomposition	contaminated+excess_extraction
eternal_marriage_covenant__immutable_commandment_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
eternal_marriage_covenant__prophetic_override_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
eternal_marriage_covenant__temporal_accommodation_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
eu_council_unanimity__diplomatic_capital_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
eu_council_unanimity__sovereignty_guarantor_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
eu_council_unanimity__veto_trap_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
exclusion_as_preparation	contaminated+factorization+excess_extraction
expert_disempowerment	contaminated+factorization+excess_extraction
expertise_specialization_trap	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
export_proliferation_pathway	contaminated+nonsensical_coupling+excess_extraction
fair_use_four_factor_test__creator_centric_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
fair_use_four_factor_test__transformative_use_reading	contaminated+excess_extraction
fair_use_four_factor_test__user_centric_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
fair_use_statutory_exception__market_licensing_reading	contaminated+factorization+excess_extraction
fair_use_statutory_exception__narrow_defense_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
fair_use_statutory_exception__transformative_right_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
family_law_authority__communal_autonomy_reading	contaminated+factorization+excess_extraction
family_law_authority__constitutional_supremacy_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
family_law_authority__hybrid_accommodation_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
fb_creator_monetization_indonesia	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
federation_membership__integration_reading	contaminated+excess_extraction
federation_membership__sovereignty_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
federation_membership_kernel__integration_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
federation_membership_kernel__member_sovereignty_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
federation_membership_kernel__welfare_coordination_reading	contaminated+factorization+excess_extraction
federation_membership_obligations__integration_primary	contaminated+factorization+nonsensical_coupling+excess_extraction
federation_membership_obligations__member_sovereignty_primary	contaminated+nonsensical_coupling+excess_extraction
federation_membership_obligations__selective_solidarity	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
federation_membership_treaty__integration_primary	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
federation_membership_treaty__sovereignty_primary	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
federation_membership_treaty__subsidiarity_balance	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
feud_obligation_kernel__christianized_pacification_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
feud_obligation_kernel__extraction_cycle_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
feud_obligation_kernel__stateless_coordination_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
feudal_oath_reciprocity__ecclesiastical_mediation_reading	contaminated+factorization+excess_extraction
feudal_oath_reciprocity__lord_extraction_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
feudal_oath_reciprocity__vassal_coordination_reading	contaminated+excess_extraction
fifth_republic_constitution__cohabitation_equilibrium_reading	contaminated+excess_extraction
fifth_republic_constitution__hyper_presidential_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
fifth_republic_constitution__parliamentary_constraint_reading	contaminated+factorization+nonsensical_coupling+excess_extraction
filter_bubble_closure	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
financialization_drag	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
finite_group_classification	pure_natural_law
first_amendment_speech_protection__absolutist_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
first_amendment_speech_protection__categorical_balancing_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
first_amendment_speech_protection__harm_limited_reading	contaminated+factorization+nonsensical_coupling+excess_extraction
fisa_702_statutory_text__constitutional_floor_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
fisa_702_statutory_text__foreign_target_strict_reading	contaminated+excess_extraction
fisa_702_statutory_text__incidental_collection_reading	contaminated+factorization+nonsensical_coupling+excess_extraction
fiscal_federalism_absence	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
foreign_pressure_catalyst	contaminated+excess_extraction
fork_mechanical_substitution	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
fourteenth_amendment_equal_protection__anti_caste_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
fourteenth_amendment_equal_protection__formal_equality_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
fourteenth_amendment_equal_protection__judicial_interpretive_drift	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
franchisee_corporate_squeeze	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
french_presidential_authority	contaminated+factorization+excess_extraction
gaza_evacuation_route_accessibility	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
gdpr_article_3_scope__effects_jurisdiction_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
gdpr_article_3_scope__market_access_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
gdpr_article_3_scope__territorial_sovereignty_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
gdpr_enforcement_structure	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
gelassenheit_separation__artifact_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
gelassenheit_separation__consequence_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
gelassenheit_separation__principle_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
gendered_category_membership__biological_sex_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
gendered_category_membership__gender_identity_reading	contaminated+factorization+excess_extraction
gendered_category_membership__social_role_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
genesis_creation_cosmology__institutional_enforcement	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
genesis_creation_cosmology__literary_framework	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
genesis_creation_cosmology__theistic_evolution	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
genesis_creation_cosmology__young_earth_literal	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
genesis_creation_narrative__allegorical_ancient_near_east	contaminated+factorization+nonsensical_coupling+excess_extraction
genesis_creation_narrative__literal_young_earth	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
genesis_creation_narrative__theistic_evolutionary	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
geneva_conventions_1949__conditional_reciprocity_reading	contaminated+nonsensical_coupling+excess_extraction
geneva_conventions_1949__humanitarian_ceiling_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
geneva_conventions_1949__security_maximization_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
geneva_conventions_protective_scope__hybrid_proportionality_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
geneva_conventions_protective_scope__state_centric_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
geneva_conventions_protective_scope__universal_rights_reading	contaminated+factorization+nonsensical_coupling+excess_extraction
geopolitical_alliance_fragmentation	contaminated+factorization+excess_extraction
geopolitical_mineral_dependency	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
gig_economy_emergence_as_exit_mechanism	contaminated+factorization+nonsensical_coupling+excess_extraction
gita_kurukshetra_discourse__gandhian_allegorical_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
gita_kurukshetra_discourse__orthodox_literal_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
gita_kurukshetra_discourse__universalist_devotional_reading	contaminated+factorization+excess_extraction
global_oil_supply_stability	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
global_south_coalitional_power	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
gold_fiat_transition_mechanism__automatic_constraint_reading	contaminated+factorization+nonsensical_coupling+excess_extraction
gold_fiat_transition_mechanism__composite_overdetermination_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
gold_fiat_transition_mechanism__creditor_discipline_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
gold_fomo_cycle	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
goodharts_law_metric_targeting	contaminated+factorization+nonsensical_coupling+excess_extraction
google_universal_commerce_protocol	contaminated+factorization+excess_extraction
gpl_copyleft_scope__enforcement_vacuum_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
gpl_copyleft_scope__narrow_scope_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
gpl_copyleft_scope__strong_copyleft_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
gpl_derivative_work_trigger__broad_copyleft_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
gpl_derivative_work_trigger__interface_boundary_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
gpl_derivative_work_trigger__narrow_linking_permissive_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
gpl_reciprocity_obligation__copyleft_as_commons_reading	contaminated+factorization+excess_extraction
gpl_reciprocity_obligation__copyleft_as_freedom_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
gpl_reciprocity_obligation__copyleft_as_restriction_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
gpu_semiconductor_supply	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
hagia_sophia_substrate__islamic_sovereignty_reading	contaminated+factorization+excess_extraction
hagia_sophia_substrate__orthodox_restitution_reading	contaminated+factorization+nonsensical_coupling+excess_extraction
hagia_sophia_substrate__universal_heritage_reading	contaminated+factorization+excess_extraction
hebrew_continuity__bridge_pidginized	contaminated+factorization+excess_extraction
hebrew_continuity__liturgical_preservation	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
hebrew_continuity__native_generative	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
hebrew_linguistic_life__liturgical_preservation_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
hebrew_linguistic_life__marketplace_pidgin_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
hebrew_linguistic_life__native_generational_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
hebrew_living_language__hybrid_continuity_reading	contaminated+excess_extraction
hebrew_living_language__liturgical_preservation_reading	contaminated+excess_extraction
hebrew_living_language__native_vernacular_reading	contaminated+factorization+nonsensical_coupling+excess_extraction
herem_command_dt7__allegorical_displacement_reading	pure_coordination
herem_command_dt7__contextual_supersession_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
herem_command_dt7__durable_separation_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
hiring_discrimination_automation	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
historical_treaty_substrate__extinguishment_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
historical_treaty_substrate__nation_to_nation_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
historical_treaty_substrate__stewardship_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
hoa_covenant_scope__behavioral_control_reading	contaminated+factorization+nonsensical_coupling+excess_extraction
hoa_covenant_scope__coordination_reading	pure_coordination
hoa_covenant_scope__extraction_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
homoousios_christology__arian_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
homoousios_christology__pro_nicene_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
homoousios_christology__semi_arian_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
homoousios_nicene__honorific_similarity_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
homoousios_nicene__metaphysical_equality_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
homoousios_nicene__subordinationist_reading	contaminated+factorization+nonsensical_coupling+excess_extraction
hong_kong_press_freedom_suppression	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
honor_satisfaction_mechanism__composite_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
honor_satisfaction_mechanism__contraction_reading	inconclusive
honor_satisfaction_mechanism__decline_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
honor_satisfaction_substrate__composite_overdetermined_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
honor_satisfaction_substrate__practice_decline_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
honor_settlement_legitimacy__composite_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
honor_settlement_legitimacy__contraction_reading	contaminated+excess_extraction
honor_settlement_legitimacy__drop_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
honor_violence_legitimacy__composite_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
honor_violence_legitimacy__contraction_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
honor_violence_legitimacy__drop_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
household_debt_accumulation_cycle	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
humane_treatment_standard__absolute_prohibition	pure_coordination
humane_treatment_standard__contextual_necessity	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
humane_treatment_standard__proportionality_balancing	contaminated+excess_extraction
ietf_openness_commitment__capture_substrate_reading	contaminated+factorization+excess_extraction
ietf_openness_commitment__commons_stewardship_reading	contaminated+factorization+excess_extraction
ietf_openness_commitment__legitimacy_erosion_reading	contaminated+factorization+nonsensical_coupling+excess_extraction
ihl_distinction_proportionality__categorical_prohibition_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
ihl_distinction_proportionality__human_agency_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
ihl_distinction_proportionality__outcomes_based_reading	contaminated+factorization+excess_extraction
imperial_mandate__bakufu_delegation_reading	contaminated+factorization+nonsensical_coupling+excess_extraction
imperial_mandate__loyalist_restoration_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
imperial_religious_property_seizure	contaminated+factorization+excess_extraction
income_support_commitment__care_economy_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
income_support_commitment__dependency_trap_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
income_support_commitment__freedom_floor_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
income_support_conditionality__dependency_trap_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
income_support_conditionality__freedom_floor_reading	pure_coordination
income_support_conditionality__wage_subsidy_reading	contaminated+factorization+excess_extraction
incumbent_competitive_moat	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
information_asymmetry_edtech	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
information_asymmetry_exploitation	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
innovators_dilemma	contaminated+factorization+excess_extraction
institutional_legitimacy_without_consent	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
insulin_pricing_cliff	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
international_law_instrumentalization	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
interpretive_authority_concentration	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
ip_category_emergence__first_holding_reading	contaminated+factorization+excess_extraction
ip_category_emergence__synchronic_diachronic_seam	contaminated+factorization+nonsensical_coupling+excess_extraction
ip_category_emergence__thinkability_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
irc_469_material_participation_kernel__statutory_ambiguity_substrate	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
irc_469_material_participation_kernel__strategic_shelter_reading	contaminated+factorization+nonsensical_coupling+excess_extraction
irc_469_material_participation_kernel__strict_gatekeeper_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
irish_language_suppression	contaminated+factorization+nonsensical_coupling+excess_extraction
irony_absorption_mechanism	contaminated+factorization+nonsensical_coupling+excess_extraction
jati_practice_norm__colonial_census_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
jati_practice_norm__localized_practice_reading	contaminated+excess_extraction
jati_practice_norm__orthodox_textual_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
jcpoa_treaty_bindingness__binding_multilateral_reading	contaminated+factorization+nonsensical_coupling+excess_extraction
jcpoa_treaty_bindingness__graduated_compliance_reading	contaminated+excess_extraction
jcpoa_treaty_bindingness__transactional_provisional_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
jevons_paradox	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
jihad_quranic_corpus__defensive_spiritual_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
jihad_quranic_corpus__expansionist_legalist_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
jihad_quranic_corpus__revolutionary_vanguard_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
john_1_1_logos__non_incarnational_monotheist	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
john_1_1_logos__orthodox_christological	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
john_1_1_logos__subordinationist	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
july_charter_sovereign_legitimacy__guided_nationalism_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
july_charter_sovereign_legitimacy__military_custodian_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
july_charter_sovereign_legitimacy__secular_democratic_reading	contaminated+factorization+excess_extraction
jurisprudential_method_kernel__hanafi_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
jurisprudential_method_kernel__hanbali_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
jurisprudential_method_kernel__maliki_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
jurisprudential_method_kernel__shafii_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
kami_buddha_ontology__domain_partition_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
kami_buddha_ontology__pragmatic_accommodation_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
kami_buddha_ontology__unified_manifestation_reading	contaminated+factorization+excess_extraction
kjv_text_1611__exclusive_inspiration_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
kjv_text_1611__functional_equivalence_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
kjv_text_1611__revisable_translation_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
knowledge_commons_collapse	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
kodashim_commandment_status__messianic_deferral	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
kodashim_commandment_status__performance_only	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
kodashim_commandment_status__study_as_performance	pure_coordination
kodashim_corpus__performance_only	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
kodashim_corpus__study_as_exercise	pure_coordination
kodashim_corpus__substitution_archive	contaminated+factorization+excess_extraction
kodashim_obligation__memorial_archival	contaminated+factorization+excess_extraction
kodashim_obligation__performance_prerequisite	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
kodashim_obligation__study_as_occupation	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
lagrange_multipliers	contaminated+excess_extraction
large_language_model_training_data_acquisition	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
latin_correctness__continuity_reading	contaminated+excess_extraction
latin_correctness__hybrid_reading	contaminated+factorization+excess_extraction
latin_correctness__rupture_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
lausanne_minority_protections__expansive_reading	contaminated+factorization+nonsensical_coupling+excess_extraction
lausanne_minority_protections__guarantor_reading	contaminated+factorization+nonsensical_coupling+excess_extraction
lausanne_minority_protections__restrictive_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
legacy_admission_gatekeeping	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
legal_personhood_boundary__developmental_potentiality_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
legal_personhood_boundary__functional_capacity_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
legal_personhood_boundary__restrictive_anthropocentric_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
legislative_minority_veto_mechanism	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
legitimacy_of_imposed_practice__endogenous_climb_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
legitimacy_of_imposed_practice__exogenous_override_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
legitimacy_of_imposed_practice__hybrid_scaffolding_reading	contaminated+factorization+excess_extraction
legitimacy_of_practice_standardization__dual_practice_equilibrium_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
legitimacy_of_practice_standardization__endogenous_displacement_reading	contaminated+excess_extraction
legitimacy_of_practice_standardization__exogenous_override_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
legitimate_health_intervention__bodily_autonomy_primary	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
legitimate_health_intervention__proportionality_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
legitimate_health_intervention__public_health_primary	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
legitimate_knowledge_boundary__credentialed_expertise_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
legitimate_knowledge_boundary__experiential_pluralism_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
legitimate_knowledge_boundary__hybrid_coproduction_reading	contaminated+factorization+nonsensical_coupling+excess_extraction
liability_attribution__deployer_liability	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
liability_attribution__developer_liability	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
liability_attribution__shared_liability	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
licensing_statute_mandate__graduated_access_filter	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
licensing_statute_mandate__public_safety_coordination	contaminated+factorization+nonsensical_coupling+excess_extraction
licensing_statute_mandate__rent_seeking_suppression	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
liturgical_vernacularization	contaminated+factorization+excess_extraction
