constraint	status	purity	F	SI	CC	EX	has_coupling	scope_result	has_nonsense	has_excess	structural	zone
commerce_clause_scope__narrow_originalist	scored	0.4501666666666667	0.0	0.75	0.6666666666666667	0.48	1	variant_2	1	1	inconclusive	contaminated
commerce_clause_text__expansive_federal_reading	scored	0.3621666666666667	0.0	0.75	0.6666666666666667	0.040000000000000036	1	variant_2	1	1	inconclusive	contaminated
commerce_clause_text__originalist_narrow_reading	scored	0.4421666666666667	0.0	0.75	0.6666666666666667	0.43999999999999995	1	variant_2	1	1	inconclusive	contaminated
commerce_clause_text__substantial_effects_limited_reading	scored	0.6669999999999999	0.25	1.0	1.0	0.45999999999999996	1	invariant	0	1	inconclusive	borderline
commercial_fishery_quota_systems	scored	0.627	0.25	1.0	1.0	0.26	1	invariant	0	1	inconclusive	borderline
commodified_permission_structure	scored	0.8520000000000001	1.0	1.0	1.0	0.26	1	invariant	0	1	inconclusive	sound
common_article_3_scope__expansive_human_rights_reading	scored	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	1	variant_2	1	1	inconclusive	contaminated
common_article_3_scope__icrc_customary_reading	scored	0.4421666666666667	0.0	0.75	0.6666666666666667	0.43999999999999995	1	variant_2	1	1	inconclusive	contaminated
common_article_3_scope__state_centric_reading	scored	0.3205	0.0	0.75	0.5	0.040000000000000036	1	variant_2	1	1	inconclusive	contaminated
common_law_precedent_corpus__evolutionary_framework	scored	0.4421666666666667	0.0	0.75	0.6666666666666667	0.43999999999999995	1	variant_2	1	1	inconclusive	contaminated
common_law_precedent_corpus__pluralist_balancing	scored	0.8320000000000001	1.0	1.0	1.0	0.15999999999999992	1	invariant	0	1	inconclusive	sound
common_law_precedent_corpus__strict_stare_decisis	scored	0.3445	0.0	0.75	0.5	0.15999999999999992	1	variant_2	1	1	inconclusive	contaminated
competence_exercise_requirement__catastrophe_as_necessary_anchor	scored	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	1	variant_2	1	1	inconclusive	contaminated
competence_exercise_requirement__hybrid_dependency	scored	0.607	0.25	1.0	1.0	0.15999999999999992	1	invariant	0	1	inconclusive	borderline
competence_exercise_requirement__simulation_as_adequate_exercise	scored	0.4421666666666667	0.0	0.75	0.6666666666666667	0.43999999999999995	1	variant_2	1	1	inconclusive	contaminated
competence_exercise_validity__continuous_refresh_hybrid	scored	0.607	0.25	1.0	1.0	0.15999999999999992	1	invariant	0	1	inconclusive	borderline
competence_exercise_validity__real_catastrophe_only	scored	0.3205	0.0	0.75	0.5	0.040000000000000036	1	variant_2	1	1	inconclusive	contaminated
competence_exercise_validity__simulation_as_proxy	scored	0.3205	0.0	0.75	0.5	0.040000000000000036	1	variant_2	1	1	inconclusive	contaminated
competence_occupation__hybrid_occupation	scored	0.5063333333333334	0.0	1.0	0.8333333333333334	0.24	1	invariant	1	1	inconclusive	borderline
competence_occupation__real_incident_necessity	scored	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	1	variant_2	1	1	inconclusive	contaminated
competence_occupation__simulation_sufficiency	scored	0.3205	0.0	0.75	0.5	0.040000000000000036	1	variant_2	1	1	inconclusive	contaminated
competence_retention_exercise__catastrophe_as_necessary	scored	0.3205	0.0	0.75	0.5	0.040000000000000036	1	variant_2	1	1	inconclusive	contaminated
competence_retention_exercise__near_miss_as_bridge	scored	0.4421666666666667	0.0	0.75	0.6666666666666667	0.43999999999999995	1	variant_2	1	1	inconclusive	contaminated
competence_retention_exercise__simulation_as_sufficient	scored	0.4421666666666667	0.0	0.75	0.6666666666666667	0.43999999999999995	1	variant_2	1	1	inconclusive	contaminated
compliance_cost_asymmetry	scored	0.33649999999999997	0.0	0.75	0.5	0.11999999999999988	1	variant_2	1	1	inconclusive	contaminated
complicity_equilibrium	scored	0.3205	0.0	0.75	0.5	0.040000000000000036	1	variant_2	1	1	inconclusive	contaminated
consent_fatigue_externality	scored	0.378	0.125	0.75	0.5	0.14000000000000012	1	variant_2	1	1	inconclusive	contaminated
constitutional_authority_boundary__coordinate_construction_reading	scored	0.655	0.25	1.0	1.0	0.4	1	invariant	0	1	inconclusive	borderline
constitutional_authority_boundary__judicial_supremacy_reading	scored	0.45833333333333337	0.0	1.0	0.8333333333333334	0.0	1	invariant	1	1	inconclusive	contaminated
constitutional_authority_boundary__parliamentary_primacy_reading	scored	0.8555	0.625	1.0	1.0	0.8400000000000001	1	invariant	0	1	inconclusive	sound
constitutional_interpretive_authority__coordinate_construction_reading	scored	0.623	0.25	1.0	1.0	0.24	1	invariant	0	1	inconclusive	borderline
constitutional_interpretive_authority__judicial_supremacy_reading	scored	0.3205	0.0	0.75	0.5	0.040000000000000036	1	variant_2	1	1	inconclusive	contaminated
constitutional_interpretive_authority__parliamentary_supremacy_reading	scored	0.3445	0.0	0.75	0.5	0.15999999999999992	1	variant_2	1	1	inconclusive	contaminated
constitutional_secularism__principled_intervention_reading	scored	0.358	0.125	0.75	0.5	0.040000000000000036	1	variant_2	1	1	inconclusive	contaminated
constitutional_secularism__reformist_reading	scored	0.3205	0.0	0.75	0.5	0.040000000000000036	1	variant_2	1	1	inconclusive	contaminated
constitutional_secularism__strict_neutrality_reading	scored	0.4341666666666667	0.0	0.75	0.6666666666666667	0.4	1	variant_2	1	1	inconclusive	contaminated
constitutional_text__judicial_supremacy_reading	scored	0.3445	0.0	0.75	0.5	0.15999999999999992	1	variant_2	1	1	inconclusive	contaminated
constitutional_text__legislative_sovereignty_reading	scored	0.3205	0.0	0.75	0.5	0.040000000000000036	1	variant_2	1	1	inconclusive	contaminated
constitutional_text__popular_sovereignty_reading	scored	0.47166666666666673	0.125	0.75	0.6666666666666667	0.4	1	variant_2	1	1	inconclusive	contaminated
constitutional_text_authority__living_constitutionalist_reading	scored	0.4621666666666667	0.0	0.75	0.6666666666666667	0.54	1	variant_2	1	1	inconclusive	contaminated
constitutional_text_authority__originalist_reading	scored	0.4663333333333334	0.0	1.0	0.8333333333333334	0.040000000000000036	1	invariant	1	1	inconclusive	contaminated
constitutional_text_authority__positivist_reading	scored	0.4421666666666667	0.0	0.75	0.6666666666666667	0.43999999999999995	1	variant_2	1	1	inconclusive	contaminated
cop_consensus_paralysis	scored	0.4221666666666667	0.0	0.75	0.6666666666666667	0.3400000000000001	1	variant_2	1	1	inconclusive	contaminated
copyright_constitutional_mandate__corporate_enclosure_reading	scored	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	1	variant_2	1	1	inconclusive	contaminated
copyright_constitutional_mandate__judicial_ambiguity_reading	scored	0.4205	0.0	0.75	0.5	0.54	1	variant_2	1	1	inconclusive	contaminated
copyright_constitutional_mandate__public_scaffold_reading	scored	0.92	1.0	1.0	1.0	0.6	1	invariant	0	1	inconclusive	pristine
correct_latin__living_drift_reading	scored	0.9600000000000001	1.0	1.0	1.0	0.8	1	invariant	0	1	inconclusive	pristine
correct_latin__prescriptive_ideal_reading	scored	0.4291666666666667	0.25	0.75	0.6666666666666667	0.0	1	variant_2	1	1	inconclusive	contaminated
correct_latin__textual_recovery_reading	scored	0.591	0.25	1.0	1.0	0.08000000000000007	1	invariant	0	1	inconclusive	borderline
correct_latin_kernel__continuity_reading	scored	0.92	1.0	1.0	1.0	0.6	1	invariant	0	1	inconclusive	pristine
correct_latin_kernel__reconstructionist_reading	scored	0.3125	0.0	0.75	0.5	0.0	1	variant_2	1	1	inconclusive	contaminated
correct_latin_kernel__reoccupation_reading	scored	0.35	0.125	0.75	0.5	1.1102230246251565e-16	1	variant_2	1	1	inconclusive	contaminated
counterparty_risk_opacity	scored	0.378	0.125	0.75	0.5	0.14000000000000012	1	variant_2	1	1	inconclusive	contaminated
creed_381_pneumatology__ecumenical_reunion_reading	scored	0.7738333333333334	0.625	1.0	0.8333333333333334	0.6399999999999999	1	invariant	1	1	inconclusive	sound
creed_381_pneumatology__filioque_reading	scored	0.3541666666666667	0.0	0.75	0.6666666666666667	1.1102230246251565e-16	1	variant_2	1	1	inconclusive	contaminated
creed_381_pneumatology__monoprocession_reading	scored	0.27083333333333337	0.0	0.75	0.33333333333333337	1.1102230246251565e-16	1	variant_2	1	1	inconclusive	degraded
crustal_hydrogen_availability	scored	1.0	1.0	1.0	1.0	1.0	1	invariant	0	1	inconclusive	pristine
cryptocurrency_settlement_competition	scored	0.3405	0.0	0.75	0.5	0.14000000000000012	1	variant_2	1	1	inconclusive	contaminated
cryptographic_key_selection	scored	0.9760000000000001	1.0	1.0	1.0	0.88	1	invariant	0	1	inconclusive	pristine
cultural_homogenization_social_media	scored	0.3285	0.0	0.75	0.5	0.08000000000000007	1	variant_2	1	1	inconclusive	contaminated
cultural_legitimacy_gatekeeping	scored	0.599	0.25	1.0	1.0	0.12	1	invariant	0	1	inconclusive	borderline
cultural_property_legal_corpus__indigenous_stewardship_reading	scored	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	1	variant_2	1	1	inconclusive	contaminated
cultural_property_legal_corpus__sovereign_repatriation_reading	scored	0.4983333333333334	0.0	1.0	0.8333333333333334	0.20000000000000007	1	invariant	1	1	inconclusive	contaminated
cultural_property_legal_corpus__universal_heritage_reading	scored	0.627	0.25	1.0	1.0	0.26	1	invariant	0	1	inconclusive	borderline
cuny_light_2026	scored	0.9760000000000001	1.0	1.0	1.0	0.88	1	invariant	0	1	inconclusive	pristine
currency_depreciation_spiral	scored	0.3405	0.0	0.75	0.5	0.14000000000000012	1	variant_2	1	1	inconclusive	contaminated
dark_matter_structure_formation_timeline	scored	0.9600000000000001	1.0	1.0	1.0	0.8	1	invariant	0	1	inconclusive	pristine
decalogue_image_prohibition__iconoclast_reading	scored	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	1	variant_2	1	1	inconclusive	contaminated
decalogue_image_prohibition__iconodule_reading	scored	0.7818333333333334	0.625	1.0	0.8333333333333334	0.6799999999999999	1	invariant	1	1	inconclusive	sound
decalogue_image_prohibition__moderate_iconoclast_reading	scored	0.607	0.25	1.0	1.0	0.15999999999999992	1	invariant	0	1	inconclusive	borderline
decentralization_censorship_resistance	scored	0.3405	0.0	0.75	0.5	0.14000000000000012	1	variant_2	1	1	inconclusive	contaminated
defense_contractor_vendor_capture	scored	0.378	0.125	0.75	0.5	0.14000000000000012	1	variant_2	1	1	inconclusive	contaminated
deferential_realism_ontology__hybrid_pragmatic_reading	scored	0.591	0.25	1.0	1.0	0.08000000000000007	1	invariant	0	1	inconclusive	borderline
deferential_realism_ontology__immutable_diagnostic_reading	scored	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	1	variant_2	1	1	inconclusive	contaminated
deferential_realism_ontology__rhetorical_scaffold_reading	scored	0.575	0.25	1.0	1.0	0.0	1	invariant	0	1	inconclusive	borderline
deforestation_commons	scored	0.3125	0.0	0.75	0.5	0.0	1	variant_2	1	1	inconclusive	contaminated
derivative_work_statutory_boundary__coordination_reading	scored	0.936	1.0	1.0	1.0	0.6799999999999999	1	invariant	0	1	inconclusive	pristine
derivative_work_statutory_boundary__enclosure_reading	scored	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	1	variant_2	1	1	inconclusive	contaminated
derivative_work_statutory_boundary__hybrid_carveout_reading	scored	0.655	0.25	1.0	1.0	0.4	1	invariant	0	1	inconclusive	borderline
developing_nation_debt_sustainability	scored	0.3405	0.0	0.75	0.5	0.14000000000000012	1	variant_2	1	1	inconclusive	contaminated
dharmasastra_corpus__abolitionist_rejection	scored	0.4291666666666667	0.25	0.75	0.6666666666666667	0.0	1	variant_2	1	1	inconclusive	contaminated
dharmasastra_corpus__orthodox_literalist	scored	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	1	variant_2	1	1	inconclusive	contaminated
dharmasastra_corpus__reformist_contextual	scored	0.599	0.25	1.0	1.0	0.12	1	invariant	0	1	inconclusive	borderline
digital_identity_standardization	scored	0.3285	0.0	0.75	0.5	0.08000000000000007	1	variant_2	1	1	inconclusive	contaminated
digital_money_emergence_boundary__conceptualization_reading	scored	0.4101666666666667	0.0	0.75	0.6666666666666667	0.28	1	variant_2	1	1	inconclusive	contaminated
digital_money_emergence_boundary__consumer_holdings_reading	scored	0.6669999999999999	0.25	1.0	1.0	0.45999999999999996	1	invariant	0	1	inconclusive	borderline
digital_money_emergence_boundary__infrastructure_reading	scored	0.6469999999999999	0.25	1.0	1.0	0.36	1	invariant	0	1	inconclusive	borderline
digital_money_origin__consumer_access_reading	scored	0.45799999999999996	0.125	0.75	0.5	0.54	1	variant_2	1	1	inconclusive	contaminated
digital_money_origin__infrastructure_reading	scored	0.4421666666666667	0.0	0.75	0.6666666666666667	0.43999999999999995	1	variant_2	1	1	inconclusive	contaminated
digital_money_origin__peer_to_peer_reading	scored	0.3125	0.0	0.75	0.5	0.0	1	variant_2	1	1	inconclusive	contaminated
dignified_death__autonomy_primary	scored	0.3365	0.0	0.75	0.5	0.12	1	variant_2	1	1	inconclusive	contaminated
dignified_death__relational_autonomy	scored	0.3925	0.0	0.75	0.5	0.4	1	variant_2	1	1	inconclusive	contaminated
dignified_death__sanctity_primary	scored	0.3125	0.0	0.75	0.5	1.1102230246251565e-16	1	variant_2	1	1	inconclusive	contaminated
disability_identity_politics	scored	0.3365	0.0	0.75	0.5	0.12	1	variant_2	1	1	inconclusive	contaminated
disney_openai_ip_exclusivity	scored	0.3821666666666667	0.0	0.75	0.6666666666666667	0.14000000000000012	1	variant_2	1	1	inconclusive	contaminated
distributed_system_coherence	scored	0.4821666666666667	0.0	0.75	0.6666666666666667	0.64	1	variant_2	1	1	inconclusive	contaminated
divine_legitimacy_substrate__amun_polytheistic_reading	scored	0.655	0.25	1.0	1.0	0.4	1	invariant	0	1	inconclusive	borderline
divine_legitimacy_substrate__atenist_monotheistic_reading	scored	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	1	variant_2	1	1	inconclusive	contaminated
divine_legitimacy_substrate__enforcement_collapse_mechanism	scored	0.3205	0.0	0.75	0.5	0.040000000000000036	1	variant_2	1	1	inconclusive	contaminated
divine_legitimacy_substrate__folk_syncretistic_reading	scored	0.48366666666666674	0.125	0.75	0.6666666666666667	0.4600000000000001	1	variant_2	1	1	inconclusive	contaminated
divine_marriage_command__coercion_visibility_reading	scored	0.358	0.125	0.75	0.5	0.040000000000000036	1	variant_2	1	1	inconclusive	contaminated
divine_marriage_command__continuationist_reading	scored	0.3285	0.0	0.75	0.5	0.08000000000000007	1	variant_2	1	1	inconclusive	contaminated
divine_marriage_command__substitutionist_reading	scored	0.3125	0.0	0.75	0.5	1.1102230246251565e-16	1	variant_2	1	1	inconclusive	contaminated
dldr_information_policy	scored	0.4743333333333334	0.0	1.0	0.8333333333333334	0.08000000000000007	1	invariant	1	1	inconclusive	contaminated
dollar_gold_convertibility__policy_flexible_reading	scored	0.8520000000000001	1.0	1.0	1.0	0.26	1	invariant	0	1	inconclusive	sound
dollar_gold_convertibility__strict_convertibility_reading	scored	0.3621666666666667	0.0	0.75	0.6666666666666667	0.039999999999999925	1	variant_2	1	1	inconclusive	contaminated
dollar_gold_convertibility__triffin_structural_reading	scored	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	1	variant_2	1	1	inconclusive	contaminated
doomsday_clock_metric__hybrid_legitimacy_reading	scored	0.607	0.25	1.0	1.0	0.15999999999999992	1	invariant	0	1	inconclusive	borderline
doomsday_clock_metric__objective_index_reading	scored	0.366	0.125	0.75	0.5	0.08000000000000007	1	variant_2	1	1	inconclusive	contaminated
doomsday_clock_metric__performative_tool_reading	scored	0.3285	0.0	0.75	0.5	0.08000000000000007	1	variant_2	1	1	inconclusive	contaminated
dsm_taxonomy_kernel__biomedical_reading	scored	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	1	variant_2	1	1	inconclusive	contaminated
dsm_taxonomy_kernel__critical_psychiatry_reading	scored	0.35250000000000004	0.0	0.75	0.5	0.20000000000000007	1	variant_2	1	1	inconclusive	contaminated
dsm_taxonomy_kernel__neurodiversity_reading	scored	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	1	variant_2	1	1	inconclusive	contaminated
dueling_disappearance_mechanism__institutional_displacement_reading	scored	0.992	1.0	1.0	1.0	0.96	1	invariant	0	1	inconclusive	pristine
dueling_disappearance_mechanism__overdetermined_composite_reading	scored	0.3445	0.0	0.75	0.5	0.15999999999999992	1	variant_2	1	1	inconclusive	contaminated
ecb_mandate_article_127__climate_incorporation	scored	0.8320000000000001	1.0	1.0	1.0	0.15999999999999992	1	invariant	0	1	inconclusive	sound
ecb_mandate_article_127__expansive_secondary_objectives	scored	0.607	0.25	1.0	1.0	0.15999999999999992	1	invariant	0	1	inconclusive	borderline
ecb_mandate_article_127__orthodox_price_stability	scored	0.3205	0.0	0.75	0.5	0.040000000000000036	1	variant_2	1	1	inconclusive	contaminated
ecclesiastical_extraction_collapse	scored	0.3285	0.0	0.75	0.5	0.08000000000000007	1	variant_2	1	1	inconclusive	contaminated
ecumenical_boundary_shift	scored	0.8240000000000001	1.0	1.0	1.0	0.12	1	invariant	0	1	inconclusive	sound
eidas_digital_identity	scored	0.8400000000000001	1.0	1.0	1.0	0.19999999999999996	1	invariant	0	1	inconclusive	sound
electronic_money_emergence__became_thinkable_reading	scored	0.4621666666666667	0.0	0.75	0.6666666666666667	0.54	1	variant_2	1	1	inconclusive	contaminated
electronic_money_emergence__first_held_reading	scored	0.4821666666666667	0.0	0.75	0.6666666666666667	0.64	1	variant_2	1	1	inconclusive	contaminated
electronic_money_emergence__m4_m5_collapse_reading	scored	0.3125	0.0	0.75	0.5	1.1102230246251565e-16	1	variant_2	1	1	inconclusive	contaminated
elite_identity_capture_2026	scored	0.3285	0.0	0.75	0.5	0.08000000000000007	1	variant_2	1	1	inconclusive	contaminated
emergency_response_reach	scored	0.3205	0.0	0.75	0.5	0.040000000000000036	1	variant_2	1	1	inconclusive	contaminated
emerging_market_debt_trap	scored	0.3405	0.0	0.75	0.5	0.14000000000000012	1	variant_2	1	1	inconclusive	contaminated
emotional_labor_extraction	scored	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	1	variant_2	1	1	inconclusive	contaminated
end_of_life_authority__autonomy_reading	scored	0.3405	0.0	0.75	0.5	0.14000000000000012	1	variant_2	1	1	inconclusive	contaminated
end_of_life_authority__sanctity_reading	scored	0.3285	0.0	0.75	0.5	0.08000000000000007	1	variant_2	1	1	inconclusive	contaminated
end_of_life_decision_authority__autonomy_reading	scored	0.35	0.125	0.75	0.5	1.1102230246251565e-16	1	variant_2	1	1	inconclusive	contaminated
end_of_life_decision_authority__sanctity_reading	scored	0.3125	0.0	0.75	0.5	1.1102230246251565e-16	1	variant_2	1	1	inconclusive	contaminated
end_of_life_decision_authority__vulnerability_protection_reading	scored	0.4663333333333334	0.0	1.0	0.8333333333333334	0.040000000000000036	1	invariant	1	1	inconclusive	contaminated
enforcement_asymmetry_axis	scored	0.3205	0.0	0.75	0.5	0.040000000000000036	1	variant_2	1	1	inconclusive	contaminated
environmental_instability_as_constraint	scored	0.988	1.0	1.0	1.0	0.94	1	invariant	0	1	inconclusive	pristine
equal_protection_clause__anti_subordination_reading	scored	0.7153333333333334	0.75	1.0	0.8333333333333334	0.15999999999999992	1	invariant	1	1	inconclusive	sound
equal_protection_clause__colorblind_reading	scored	0.4101666666666667	0.0	0.75	0.6666666666666667	0.28	1	variant_2	1	1	inconclusive	contaminated
equal_protection_clause__diversity_reading	scored	0.8395	0.625	1.0	1.0	0.76	1	invariant	0	1	inconclusive	sound
equal_protection_clause__formal_equality_reading	scored	0.4421666666666667	0.0	0.75	0.6666666666666667	0.43999999999999995	1	variant_2	1	1	inconclusive	contaminated
equal_protection_clause__remedial_reading	scored	0.3205	0.0	0.75	0.5	0.040000000000000036	1	variant_2	1	1	inconclusive	contaminated
equal_protection_clause__substantive_equality_reading	scored	0.2788333333333334	0.0	0.75	0.33333333333333337	0.040000000000000036	1	variant_2	1	1	inconclusive	degraded
equal_protection_commitment__colorblind_reading	scored	0.647	0.25	1.0	1.0	0.3600000000000001	1	invariant	0	1	inconclusive	borderline
equal_protection_commitment__diversity_reading	scored	0.4741666666666667	0.0	0.75	0.6666666666666667	0.6	1	variant_2	1	1	inconclusive	contaminated
equal_protection_commitment__remedial_reading	scored	0.607	0.25	1.0	1.0	0.15999999999999992	1	invariant	0	1	inconclusive	borderline
equality_clause_scope__expansive_universalist	scored	0.4341666666666667	0.0	0.75	0.6666666666666667	0.4	1	variant_2	1	1	inconclusive	contaminated
equality_clause_scope__progressive_textualist	scored	0.4421666666666667	0.0	0.75	0.6666666666666667	0.43999999999999995	1	variant_2	1	1	inconclusive	contaminated
equality_clause_scope__restrictive_originalist	scored	0.3125	0.0	0.75	0.5	1.1102230246251565e-16	1	variant_2	1	1	inconclusive	contaminated
ergo_nipopows	scored	0.6469999999999999	0.25	1.0	1.0	0.36	1	invariant	0	1	inconclusive	borderline
ergo_utxo_state_bloat_accumulation	scored	0.3405	0.0	0.75	0.5	0.14000000000000012	1	variant_2	1	1	inconclusive	contaminated
ergodic_decomposition	scored	0.9760000000000001	1.0	1.0	1.0	0.88	1	invariant	0	1	inconclusive	pristine
eternal_marriage_covenant__immutable_commandment_reading	scored	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	1	variant_2	1	1	inconclusive	contaminated
eternal_marriage_covenant__prophetic_override_reading	scored	0.3285	0.0	0.75	0.5	0.08000000000000007	1	variant_2	1	1	inconclusive	contaminated
eternal_marriage_covenant__temporal_accommodation_reading	scored	0.4341666666666667	0.0	0.75	0.6666666666666667	0.4	1	variant_2	1	1	inconclusive	contaminated
eu_council_unanimity__diplomatic_capital_reading	scored	0.49016666666666664	0.0	0.75	0.6666666666666667	0.6799999999999999	1	variant_2	1	1	inconclusive	contaminated
eu_council_unanimity__sovereignty_guarantor_reading	scored	0.46616666666666673	0.0	0.75	0.6666666666666667	0.56	1	variant_2	1	1	inconclusive	contaminated
eu_council_unanimity__veto_trap_reading	scored	0.3285	0.0	0.75	0.5	0.08000000000000007	1	variant_2	1	1	inconclusive	contaminated
exclusion_as_preparation	scored	0.627	0.25	1.0	1.0	0.26	1	invariant	0	1	inconclusive	borderline
expert_disempowerment	scored	0.607	0.25	1.0	1.0	0.15999999999999992	1	invariant	0	1	inconclusive	borderline
expertise_specialization_trap	scored	0.3285	0.0	0.75	0.5	0.07999999999999996	1	variant_2	1	1	inconclusive	contaminated
export_proliferation_pathway	scored	0.7713333333333334	0.75	1.0	0.8333333333333334	0.44000000000000006	1	invariant	1	1	inconclusive	sound
fair_use_four_factor_test__creator_centric_reading	scored	0.358	0.125	0.75	0.5	0.040000000000000036	1	variant_2	1	1	inconclusive	contaminated
fair_use_four_factor_test__transformative_use_reading	scored	0.8240000000000001	1.0	1.0	1.0	0.12	1	invariant	0	1	inconclusive	sound
fair_use_four_factor_test__user_centric_reading	scored	0.47416666666666674	0.0	0.75	0.6666666666666667	0.6000000000000001	1	variant_2	1	1	inconclusive	contaminated
fair_use_statutory_exception__market_licensing_reading	scored	0.5	0.0	1.0	1.0	0.0	1	invariant	0	1	inconclusive	borderline
fair_use_statutory_exception__narrow_defense_reading	scored	0.3405	0.0	0.75	0.5	0.14000000000000012	1	variant_2	1	1	inconclusive	contaminated
fair_use_statutory_exception__transformative_right_reading	scored	0.4341666666666667	0.0	0.75	0.6666666666666667	0.4	1	variant_2	1	1	inconclusive	contaminated
family_law_authority__communal_autonomy_reading	scored	0.627	0.25	1.0	1.0	0.26	1	invariant	0	1	inconclusive	borderline
family_law_authority__constitutional_supremacy_reading	scored	0.4245	0.0	0.75	0.5	0.56	1	variant_2	1	1	inconclusive	contaminated
family_law_authority__hybrid_accommodation_reading	scored	0.4461666666666667	0.0	0.75	0.6666666666666667	0.4600000000000001	1	variant_2	1	1	inconclusive	contaminated
fb_creator_monetization_indonesia	scored	0.378	0.125	0.75	0.5	0.14000000000000012	1	variant_2	1	1	inconclusive	contaminated
federation_membership__integration_reading	scored	0.8520000000000001	1.0	1.0	1.0	0.26	1	invariant	0	1	inconclusive	sound
federation_membership__sovereignty_reading	scored	0.3405	0.0	0.75	0.5	0.14000000000000012	1	variant_2	1	1	inconclusive	contaminated
federation_membership_kernel__integration_reading	scored	0.378	0.125	0.75	0.5	0.14000000000000012	1	variant_2	1	1	inconclusive	contaminated
federation_membership_kernel__member_sovereignty_reading	scored	0.378	0.125	0.75	0.5	0.14000000000000012	1	variant_2	1	1	inconclusive	contaminated
federation_membership_kernel__welfare_coordination_reading	scored	0.627	0.25	1.0	1.0	0.26	1	invariant	0	1	inconclusive	borderline
federation_membership_obligations__integration_primary	scored	0.5263333333333334	0.0	1.0	0.8333333333333334	0.3400000000000001	1	invariant	1	1	inconclusive	borderline
federation_membership_obligations__member_sovereignty_primary	scored	0.7353333333333334	0.75	1.0	0.8333333333333334	0.26	1	invariant	1	1	inconclusive	sound
federation_membership_obligations__selective_solidarity	scored	0.3405	0.0	0.75	0.5	0.14000000000000012	1	variant_2	1	1	inconclusive	contaminated
federation_membership_treaty__integration_primary	scored	0.32283333333333336	0.0	0.75	0.33333333333333337	0.26	1	variant_2	1	1	inconclusive	contaminated
federation_membership_treaty__sovereignty_primary	scored	0.39	0.125	0.75	0.5	0.20000000000000007	1	variant_2	1	1	inconclusive	contaminated
federation_membership_treaty__subsidiarity_balance	scored	0.4621666666666667	0.0	0.75	0.6666666666666667	0.54	1	variant_2	1	1	inconclusive	contaminated
feud_obligation_kernel__christianized_pacification_reading	scored	0.3205	0.0	0.75	0.5	0.040000000000000036	1	variant_2	1	1	inconclusive	contaminated
feud_obligation_kernel__extraction_cycle_reading	scored	0.3285	0.0	0.75	0.5	0.08000000000000007	1	variant_2	1	1	inconclusive	contaminated
feud_obligation_kernel__stateless_coordination_reading	scored	0.4541666666666667	0.0	0.75	0.6666666666666667	0.5	1	variant_2	1	1	inconclusive	contaminated
feudal_oath_reciprocity__ecclesiastical_mediation_reading	scored	0.655	0.25	1.0	1.0	0.4	1	invariant	0	1	inconclusive	borderline
feudal_oath_reciprocity__lord_extraction_reading	scored	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	1	variant_2	1	1	inconclusive	contaminated
feudal_oath_reciprocity__vassal_coordination_reading	scored	0.9680000000000001	1.0	1.0	1.0	0.8400000000000001	1	invariant	0	1	inconclusive	pristine
fifth_republic_constitution__cohabitation_equilibrium_reading	scored	0.8480000000000001	1.0	1.0	1.0	0.24	1	invariant	0	1	inconclusive	sound
fifth_republic_constitution__hyper_presidential_reading	scored	0.39583333333333337	0.0	0.75	0.8333333333333334	0.0	1	variant_2	1	1	inconclusive	contaminated
fifth_republic_constitution__parliamentary_constraint_reading	scored	0.7738333333333334	0.625	1.0	0.8333333333333334	0.6399999999999999	1	invariant	1	1	inconclusive	sound
filter_bubble_closure	scored	0.3405	0.0	0.75	0.5	0.14000000000000012	1	variant_2	1	1	inconclusive	contaminated
financialization_drag	scored	0.3405	0.0	0.75	0.5	0.14000000000000012	1	variant_2	1	1	inconclusive	contaminated
finite_group_classification	scored	1.0	1.0	1.0	1.0	1.0	1	invariant	0	1	inconclusive	pristine
first_amendment_speech_protection__absolutist_reading	scored	0.3445	0.0	0.75	0.5	0.15999999999999992	1	variant_2	1	1	inconclusive	contaminated
first_amendment_speech_protection__categorical_balancing_reading	scored	0.3205	0.0	0.75	0.5	0.040000000000000036	1	variant_2	1	1	inconclusive	contaminated
first_amendment_speech_protection__harm_limited_reading	scored	0.5371666666666667	0.375	1.0	0.6666666666666667	0.040000000000000036	1	invariant	1	1	inconclusive	borderline
fisa_702_statutory_text__constitutional_floor_reading	scored	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	1	variant_2	1	1	inconclusive	contaminated
